SMILES,C1SP3,MDEC-33,khs.ssGeH2,khs.sssssP,khs.dsssP,khs.ddssS,MDEC-34,khs.aasC,SPC-4,VPC-4,khs.ssSe,SPC-5,VPC-5,khs.sssPbH,SPC-6,khs.ssSiH2,khs.ssBe,MDEN-11,VPC-6,MDEN-12,MDEO-22,WPOL,SP-0,MDEN-13,khs.sssSiH,ATSc1,Kier1,SP-1,khs.tCH,khs.sGeH3,ATSc2,khs.ssssGe,khs.dssC,Kier2,khs.ssPH,VAdjMat,ATSc3,SC-3,khs.aaNH,khs.sssAs,Kier3,SP-2,khs.sSeH,khs.ssNH2,MDEC-11,ATSc4,SC-4,khs.ssssPb,khs.sSH,SP-3,khs.sssGeH,MDEC-12,ATSc5,SC-5,SP-4,khs.sssB,MDEC-13,SC-6,khs.ssCH2,SP-5,khs.ssBH,MDEC-14,topoShape,SP-6,khs.sF,khs.sssssAs,VCH-3,khs.dO,SP-7,khs.aaCH,khs.aasN,VCH-4,MDEC-44,khs.ssssB,khs.dNH,khs.ddsN,VCH-5,khs.dssSe,khs.ssssC,fragC,VCH-6,khs.ssssBe,VCH-7,ECCEN,khs.dS,C3SP2,khs.sBr,khs.sI,TopoPSA,khs.dsCH,C3SP3,PetitjeanNumber,SCH-3,MDEN-22,khs.dsN,khs.ssNH,khs.ssssSi,SCH-4,MDEN-23,C4SP3,khs.sPbH3,khs.sssdAs,WPATH,SCH-5,C2SP1,SCH-6,C2SP2,SCH-7,khs.sSnH3,khs.aaN,khs.sssNH,MDEC-22,C2SP3,khs.aaO,khs.dssS,MDEC-23,khs.sCl,khs.sssN,khs.ssssSn,khs.dCH2,geomShape,MDEC-24,khs.ssO,ATSm1,khs.sssP,ATSm2,Zagreb,ATSp1,khs.aaaC,khs.sssCH,khs.ssssN,khs.sLi,VP-0,khs.aaS,ATSm3,MDEO-11,ATSp2,khs.ssPbH2,khs.sNH2,VP-1,ATSm4,khs.aaSe,VC-3,MDEO-12,ATSp3,khs.ssS,khs.sNH3,VP-2,khs.sAsH2,ATSm5,VC-4,TPSA,ATSp4,VP-3,khs.ssSnH2,VC-5,ATSp5,VP-4,khs.sPH2,khs.sCH3,khs.ddssSe,VC-6,MDEN-33,VP-5,khs.sOH,khs.tsC,khs.ssAsH,khs.sSiH3,VP-6,C1SP1,khs.sssSnH,VP-7,C1SP2,khs.tN,khs.ddC,khs.dSe
COC(=O)c1ccc(C(=O)OC)c(c1)N(=O)=O, 0.0, 4.50879764556885, , , , , 0.0, 3.0, 3.06308436393738 3.06308436393738, 0.70336240530014 0.70336240530014, , 4.1180157661438 4.1180157661438, 0.81500232219696 0.81500232219696, , 5.59544849395752 5.59544849395752, , 0.0, 0.0, 0.83116090297699 0.83116090297699, 0.0, 0.142857149243355, 26.0, 12.9996356964111, 0.0, , 0.624876856803894, 15.0588235855103, 8.00643730163574, 0.0, , -0.330592721700668, , 2.0, 6.80529308319092, , 5.08746290206909, 0.211008235812187, 1.24357008934021, 0.0, , 3.72889423370361, 6.91592264175415, , 0.0, 0.111111111938953, -0.146659672260284, 0.0, , , 5.67549467086792, , 1.34164083003998, -0.144022732973099, 0.405714482069016, 3.88879680633545, 0.0, 2.45254445075989, 0.0, 0.0, 3.02648329734802, 0.0, 0.0, 0.800000011920929, 1.9883234500885, , , 0.0, , 1.28085112571716, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, , 0.0, 404.070007324219, 0.0240562614053488, 0.0, 0.0348145477473736, 221.0, , 0.0, , , 98.4199981689453, 0.0, 2.0, 0.444444447755814, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, , , 512.0, 0.0, 0.0, 0.0680413842201233, 0.0, 0.117851130664349, , 0.0, 0.0, 1.65096366405487, 4.0, , , 8.09800910949707, , 0.0, , 0.0, , 0.0, , 22.0068016052246, , 20.2656688690186, 80.0, 754.697692871094, 0.0, 0.0, , 0.0, 9.12875461578369, , 27.6483287811279, 1.24381601810455, 863.143127441406, , 0.0, 4.45978212356567, 31.1478443145752, , 0.340652972459793, 1.76716732978821, 1159.99279785156, , 0.0, 2.97220134735107, , 30.0885906219482, 0.0, , 1201.1923828125, 2.02083516120911, , 0.0553092062473297, 967.086853027344, 1.21008813381195, , 2.0, , 0.0, 0.0, 0.737505972385406, , 0.0, , , 0.362695246934891, 0.0, , 0.181199073791504, 2.0, 0.0, 0.0, 
CCN(CC)C(=O)c1cccc(C)c1, 5.0, 1.65096366405487, , , , , 0.0, 2.0, 1.98831474781036 1.98831474781036, 0.783032476902008 0.783032476902008, , 2.9260528087616 2.9260528087616, 0.987431168556213 0.987431168556213, , 3.41326022148132 3.41326022148132, , 0.0, 0.0, 0.900614023208618 0.900614023208618, 0.0, 0.0, 19.0, 10.5520420074463, 0.0, , 0.191888898611069, 12.0714282989502, 6.68507051467896, 0.0, , -0.121978618204594, , 1.0, 5.77777767181396, , 4.80735492706299, 0.0604772008955479, 0.814458549022675, 0.0, , 3.27272725105286, 5.46755027770996, , 0.0, 0.516459047794342, -0.0300540383905172, 0.0, , , 4.51285171508789, , 4.86080026626587, -0.00527163315564394, 0.19245009124279, 3.37571668624878, 0.0, 2.63993310928345, 0.0, 2.0, 2.05620241165161, 0.0, 0.0, 0.75, 1.07868075370789, , , 0.0, 1.0, 0.656120359897614, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 779.02001953125, 0.0277777779847383, 0.0, 0.0416666679084301, 153.0, , 0.0, , , 20.3099994659424, 0.0, 2.0, 0.428571432828903, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, , , 307.0, 0.0, 0.0, 0.0833333358168602, 0.0, 0.131445854902267, , 0.0, 0.0, 5.08756160736084, 4.0, , , 8.15237903594971, , 1.0, , 0.0, , 0.0, 0.0, 15.1344566345215, , 14.8306474685669, 64.0, 797.337768554688, 0.0, 0.0, 0.0, 0.0, 9.07907676696777, , 19.3841133117676, 0.0, 874.696411132812, , 0.0, 5.04576730728149, 20.660737991333, , 0.407446950674057, 0.0, 1105.91613769531, , 0.0, 3.34692239761353, , 17.660737991333, 0.0, , 1074.99365234375, 2.315678358078, , 0.0380362905561924, 832.702331542969, 1.4714879989624, , 3.0, , 0.0, 0.0, 0.730466902256012, 0.0, 0.0, , , 0.349321097135544, 0.0, , 0.177195966243744, 1.0, 0.0, 0.0, 
Oc1ccc(Cl)cn1, 2.0, 0.333333343267441, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.816496610641479 0.816496610641479, 0.260291039943695 0.260291039943695, 0.0, 0.760079681873322 0.760079681873322, 0.198185533285141 0.198185533285141, 0.0, 1.13807117938995 1.13807117938995, 0.0, 0.0, 0.0, 0.217172205448151 0.217172205448151, 0.0, 0.0, 7.0, 5.98312759399414, 0.0, 0.0, 0.187081158161163, 6.125, 3.78769373893738, 0.0, 0.0, -0.0982278883457184, 0.0, 0.0, 2.51999998092651, 0.0, 4.0, 0.0126126389950514, 0.577350258827209, 0.0, 0.0, 1.79999995231628, 3.3650438785553, 0.0, 0.0, 0.0, 0.0218612607568502, 0.0, 0.0, 0.0, 2.30453038215637, 0.0, 0.0, -0.0626144483685493, 0.0, 1.4267463684082, 0.0, 0.0, 0.0, 0.0, 1.30473780632019, 0.0, 0.0, 0.666666686534882, 0.333333343267441, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 88.0299987792969, 0.0215165745466948, 0.0, 0.0340200066566467, 58.0, 0.0, 0.0, 0.0, 0.0, 33.1199989318848, 0.0, 0.0, 0.400000005960464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 62.0, 0.0, 0.0, 0.0833333358168602, 0.0, 0.16666667163372, 0.0, 1.0, 0.0, 1.65096366405487, 3.0, 0.0, 0.0, 4.24264049530029, 1.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 16.8472099304199, 0.0, 10.6161994934082, 36.0, 353.794006347656, 0.0, 0.0, 0.0, 0.0, 4.76037120819092, 0.0, 15.1214036941528, 0.0, 375.200897216797, 0.0, 0.0, 2.47171783447266, 12.2243795394897, 0.0, 0.246717259287834, 0.0, 440.009368896484, 0.0, 0.0, 1.77105140686035, 0.0, 4.28382921218872, 0.0, , 290.311859130859, 0.935352742671967, 0.0, 0.0, 75.506477355957, 0.479801148176193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.326788514852524, 1.0, 0.0, 0.0, 0.0, 0.0680400133132935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ClCc1ccc(CCl)cc1, 2.0, 0.333333343267441, , , , , 0.0, 2.0, 0.985598564147949 0.985598564147949, 0.539426743984222 0.539426743984222, , 1.1148077249527 1.1148077249527, 0.523256897926331 0.523256897926331, , 1.04044008255005 1.04044008255005, , 0.0, 0.0, 0.407663226127625 0.407663226127625, 0.0, 0.0, 11.0, 7.39734125137329, 0.0, , 0.0878953784704208, 8.10000038146973, 4.86370325088501, 0.0, , -0.0361832492053509, , 0.0, 4.0, , 4.32192802429199, -0.006320227868855, 0.40824830532074, , , 2.28571438789368, 3.70324802398682, , 0.0, 0.0, 0.000347361637977883, 0.0, , , 3.12102699279785, , 0.0, 0.00500521622598171, 0.0, 2.04798078536987, 0.0, 0.0, 0.0, 2.0, 1.47140455245972, 0.0, 0.0, 0.75, 0.902368903160095, , , 0.0, , 0.402368932962418, 4.0, , 0.0, 0.0, 0.0, 0.0, , 0.0, , 0.0, 234.020004272461, 0.0277777779847383, 0.0, 0.039283711463213, 100.0, , 0.0, , , 0.0, 0.0, 2.0, 0.428571432828903, 0.0, 0.0, , 0.0, , 0.0, 0.0, 0.0, , , 125.0, 0.0, 0.0, 0.0833333358168602, 0.0, 0.117851130664349, , , , 6.58010387420654, 4.0, , , 7.55952644348145, , , , 0.0, , 0.0, , 25.4255065917969, , 13.9034748077393, 44.0, 591.520385742188, 0.0, 0.0, , 0.0, 6.99140167236328, , 15.9034748077393, 0.0, 629.298583984375, , 0.0, 4.13204145431519, 18.8069496154785, , 0.235702261328697, 0.0, 750.7587890625, , 0.0, 2.6182804107666, , 13.8069496154785, 0.0, , 629.820556640625, 1.94879150390625, , 0.0, 316.280242919922, 1.07378590106964, , 0.0, , 0.0, 0.0, 0.653344035148621, , 0.0, , , 0.421853005886078, 0.0, , 0.196229934692383, 0.0, , 0.0, 
C=CCNc1ccccc1, 1.0, 0.0, , , , , 0.0, 1.0, 0.433012694120407 0.433012694120407, 0.155150607228279 0.155150607228279, , 0.61237245798111 0.61237245798111, 0.185395404696465 0.185395404696465, , 0.679412364959717 0.679412364959717, , 0.0, 0.0, 0.166773706674576 0.166773706674576, 0.0, 0.0, 9.0, 7.23420429229736, 0.0, , 0.0652717351913452, 8.10000038146973, 4.93185186386108, 0.0, , -0.0385538749396801, , 0.0, 4.76033067703247, , 4.32192802429199, 0.00263515952974558, 0.20412415266037, , , 3.11111116409302, 3.64626431465149, , 0.0, 0.0, 0.00362430140376091, 0.0, , , 2.69067072868347, , 1.81689918041229, -0.000200770562514663, 0.0, 1.96861410140991, 0.0, 0.25, 0.0, 1.0, 1.51341998577118, 0.0, 0.0, 0.75, 0.637136876583099, , , 0.0, , 0.348461717367172, 5.0, , 0.0, 0.0, 0.0, 0.0, , 0.0, , 0.0, 351.010009765625, 0.0320750139653683, 0.0, 0.0160375069826841, 107.0, , 0.0, , , 12.0299997329712, 1.0, 0.0, 0.428571432828903, 0.0, 0.0, , 1.0, , 0.0, 0.0, 0.0, , , 133.0, 0.0, 0.0, 0.102062076330185, 1.0, 0.0721687823534012, , , , 8.36400413513184, 6.0, , , 3.79983568191528, , , , 1.0, , 0.0, , 10.3599882125854, , 10.3323707580566, 42.0, 497.681640625, 0.0, 0.0, , 0.0, 5.87831497192383, , 11.498556137085, 0.0, 516.917785644531, , 0.0, 3.33073353767395, 9.49855613708496, , 0.0833333358168602, 0.0, 575.552734375, , 0.0, 2.03560137748718, , 6.16618537902832, 0.0, , 463.306518554688, 1.22431290149689, , 0.0, 289.747436523438, 0.746023893356323, , 0.0, , 0.0, 0.0, 0.467421740293503, , 0.0, , , 0.158754959702492, 0.0, , 0.0731386989355087, 1.0, , 0.0, 
Cc1ccc(O)cc1, 1.0, 0.333333343267441, , , , , 0.0, 2.0, 0.816496610641479 0.816496610641479, 0.278516381978989 0.278516381978989, , 0.760079681873322 0.760079681873322, 0.219658941030502, , 1.13807117938995 1.13807117938995, , 0.0, 0.0, 0.246867805719376, 0.0, 0.0, 7.0, 5.98312759399414, 0.0, , 0.0754449218511581, 6.125, 3.78769373893738, 0.0, , -0.0237379856407642, , 0.0, 2.51999998092651, , 4.0, -0.0129380654543638, 0.577350258827209, , , 1.79999995231628, 3.3650438785553, , , 0.0, -0.00100556667894125, 0.0, , , 2.30453038215637, , 1.63299322128296, -4.02373443648685e-05, 0.0, 1.4267463684082, 0.0, 1.0, 0.0, 0.0, 1.30473780632019, 0.0, 0.0, 0.666666686534882, 0.333333343267441, , , 0.0, , 0.0, 4.0, , 0.0, 0.0, 0.0, , , 0.0, , 0.0, 200.009994506836, 0.0277777779847383, 0.0, 0.0402003787457943, 58.0, , 0.0, , , 20.2299995422363, 0.0, 1.0, 0.400000005960464, 0.0, 0.0, , , , 0.0, 0.0, 0.0, , , 62.0, 0.0, 0.0, 0.0833333358168602, 0.0, 0.16666667163372, , , , 3.30192732810974, 5.0, , , 5.65685415267944, , , , 0.0, , 0.0, , 8.77446937561035, , 8.33209228515625, 36.0, 349.810272216797, 0.0, 0.0, , 0.0, 4.75661468505859, , 10.6641836166382, 0.0, 369.928619384766, , , 2.54497408866882, 7.66418409347534, , 0.241202265024185, 0.0, 438.293243408203, , 0.0, 1.83554911613464, , 2.33209204673767, 0.0, , 290.995086669922, 1.03397142887115, , 0.0, 75.1603927612305, 0.544763445854187, , 1.0, , 0.0, 0.0, 0.380460470914841, , 0.0, , , 0.0804007574915886, 0.0, , 0.0, 0.0, , 0.0, 
CCCCCCCCCCO, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 0.0, 0.0 0.0, 0.0, 0.0 0.0, 0.0 0.0, 0.0, 0.0 0.0, 0.0, 0.0, 0.0, 0.0 0.0, 0.0, 0.0, 8.0, 8.3639612197876, 0.0, 0.0, 0.0834003686904907, 11.0, 5.41421365737915, 0.0, 0.0, -0.0336307436227798, 0.0, 0.0, 10.0, 0.0, 4.45943164825439, -0.00744553282856941, 0.0, 0.0, 0.0, 10.0, 3.47487378120422, 0.0, 0.0, 0.0, -0.000603174732532352, 0.0, 0.0, 0.0, 2.20710682868958, 0.0, 2.17015647888184, -2.04328189283842e-05, 0.0, 1.38388347625732, 0.0, 0.0, 0.0, 9.0, 0.853553414344788, 0.0, 0.0, 1.0, 0.515165030956268, 0.0, 0.0, 0.0, 0.0, 0.301776707172394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 914.010009765625, 0.0, 0.0, 0.0, 150.0, 0.0, 0.0, 0.0, 0.0, 20.2299995422363, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 220.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.1851243972778, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , 0.0, 0.0, 11.7744693756104, 0.0, 10.3320922851562, 38.0, 474.577545166016, 0.0, 0.0, 0.0, 0.0, 7.8111743927002, 0.0, 9.33209228515625, 0.0, 450.597717285156, 0.0, 0.0, 5.02333450317383, 8.33209228515625, 0.0, 0.0, 0.0, 410.388275146484, 0.0, 0.0, 3.1984806060791, 0.0, 7.33209180831909, 0.0, , 361.430480957031, 2.01166725158691, 0.0, 0.0, 308.383331298828, 1.24568688869476, 0.0, 1.0, 0.0, 0.0, 0.0, 0.755833625793457, 1.0, 0.0, 0.0, 0.0, 0.446066737174988, 0.0, 0.0, 0.252916812896729, 0.0, 0.0, 0.0, 0.0
Nc1ccc(O)c(c1)N(=O)=O, 0.0, 1.65096366405487, , , , , 0.0, 3.0, 1.85140001773834 1.85140001773834, 0.398336470127106 0.398336470127106, , 2.5294976234436 2.5294976234436, 0.402203172445297 0.402203172445297, , 3.35758996009827 3.35758996009827, , 0.0, 0.0, 0.395843178033829 0.395843178033829, 0.0, 0.0, 14.0, 8.43072128295898, 0.25, , 0.187772318720818, 9.09090900421143, 5.10906076431274, 0.0, , 0.00578310946002603, , 0.0, 3.59999990463257, , 4.45943164825439, -0.0449167415499687, 0.993793487548828, , , 2.21453285217285, 4.80337953567505, , 0.0, 0.0, -0.0886714607477188, 0.0, , , 3.37654876708984, , 0.0, -0.0249165501445532, 0.232307806611061, 2.50549149513245, 0.0, 0.0, 0.0, 0.0, 1.89818668365479, 0.0, 0.0, 0.666666686534882, 0.653482377529144, , , 0.0, , 0.307529658079147, 3.0, , 0.0, 0.0, 0.0, , , 0.0, , 0.0, 179.050003051758, 0.0240562614053488, 0.0, 0.0354054644703865, 89.0, , 0.0, , , 92.0699996948242, 0.0, 0.0, 0.400000005960464, 0.0, 0.0, , , , 0.0, 0.0, 0.0, , , 148.0, 0.0, 0.0, 0.0680413842201233, 0.0, 0.175366476178169, , , , 1.65096366405487, 6.0, , , 5.85380077362061, , , , 0.0, , 0.0, , 14.0433835983276, , 12.7713947296143, 52.0, 444.764465332031, 0.0, 0.0, , 0.0, 5.52032470703125, , 17.767578125, 0.944940805435181, 495.660827636719, , 1.0, 2.83907103538513, 17.2107582092285, , 0.262592285871506, 0.0, 639.095947265625, , 0.0, 2.00526142120361, , 13.9017562866211, 0.0, , 539.649047851562, 1.19616663455963, , 0.0274249538779259, 293.870300292969, 0.686696887016296, , 0.0, , 0.0, 0.0, 0.404188603162766, , 0.0, , , 0.114351935684681, 0.0, , 0.0311635658144951, 0.0, , 0.0, 
Nc1cccc(c1)C(=O)C, 1.0, 1.65096366405487, , , , , 0.0, 2.0, 1.38960480690002 1.38960480690002, 0.428652435541153 0.428652435541153, , 1.52280783653259 1.52280783653259, 0.401548266410828 0.401548266410828, , 1.98179233074188 1.98179233074188, , 0.0, 0.0, 0.392436563968658 0.392436563968658, 0.0, 0.0, 11.0, 7.56047773361206, 0.0, , 0.147710368037224, 8.10000038146973, 4.69837713241577, 0.0, , -0.0307433605194092, , 1.0, 3.40828394889832, , 4.32192802429199, -0.0294805485755205, 0.788675129413605, , , 2.28571438789368, 4.27587413787842, , 0.0, 0.0, 8.49978096084669e-05, 0.0, , , 2.91976571083069, , 1.09204828739166, -0.0393864475190639, 0.16666667163372, 2.08652830123901, 0.0, 1.5, 0.0, 0.0, 1.57210290431976, 0.0, 0.0, 0.666666686534882, 0.603098630905151, , , 0.0, , 0.328532844781876, 4.0, , 0.0, 0.0, 0.0, 0.0, , 0.0, , 0.0, 271.019989013672, 0.0277777779847383, 0.0, 0.0299263969063759, 80.0, , 0.0, , , 43.0900001525879, 0.0, 1.0, 0.400000005960464, 0.0, 0.0, , 0.0, , 0.0, 0.0, 0.0, , , 117.0, 0.0, 0.0, 0.0833333358168602, 1.0, 0.131445854902267, , , , 3.53277564048767, 5.0, , , 6.4474196434021, , , , 0.0, , 0.0, , 11.1344566345215, , 10.4982776641846, 46.0, 485.870361328125, 0.0, 0.0, , 0.0, 5.79499959945679, , 13.9965543746948, 0.0, 527.351806640625, , 1.0, 3.06416654586792, 11.9965543746948, , 0.281620442867279, 0.0, 653.701843261719, , 0.0, 2.18164896965027, , 7.99655437469482, 0.0, , 523.302856445312, 1.29315364360809, , 0.0340206921100616, 284.541778564453, 0.757660746574402, , 1.0, , 0.0, 0.0, 0.455443143844604, , 0.0, , , 0.141496062278748, 0.0, , 0.0586770139634609, 0.0, , 0.0, 
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC, 4.0, 1.65096366405487, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.07915759086609 3.07915759086609, 4.71259880065918 4.71259880065918, 0.0, 3.79847741127014 3.79847741127014, 5.73584890365601 5.73584890365601, 0.0, 4.12832593917847 4.12832593917847, 0.0, 0.0, 0.0, 5.20302581787109 5.20302581787109, 0.0, 1.31556057929993, 25.0, 14.8889055252075, 0.0, 0.0, 0.866661727428436, 19.0, 8.91836261749268, 0.0, 0.0, -0.566419005393982, 0.0, 2.0, 9.83364868164062, 0.0, 5.24792766571045, 0.359758257865906, 1.61782073974609, 0.0, 0.0, 7.37279987335205, 7.3774790763855, 0.0, 0.0, 0.793700516223907, -0.214574784040451, 0.176776692271233, 0.0, 0.0, 5.4974422454834, 0.0, 2.58456468582153, -0.477301210165024, 0.117851130664349, 3.507000207901, 0.0, 2.60027813911438, 0.0, 3.0, 2.22840571403503, 0.0, 0.0, 0.800000011920929, 1.44038736820221, 0.0, 0.0, 0.0, 2.0, 0.835364103317261, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1027.08996582031, 0.0, 0.0, 0.0, 251.0, 1.0, 0.0, 0.0, 0.0, 138.259994506836, 0.0, 0.0, 0.444444447755814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 738.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.685006737709045, 2.0, 0.0, 0.0, 3.79021191596985, 0.0, 0.0, 0.0, 0.0, , 0.0, 4.0, 41.552734375, 0.0, 38.9669189453125, 82.0, 1081.07934570312, 0.0, 1.0, 0.0, 0.0, 13.9392910003662, 0.0, 51.7453994750977, 0.200000002980232, 1187.5966796875, 0.0, 0.0, 9.76392078399658, 46.610107421875, 0.0, 2.54792833328247, 1.92224907875061, 1486.51208496094, 1.0, 0.0, 9.78234958648682, 0.0, 44.8924179077148, 0.335410207509995, , 1519.185546875, 7.77814102172852, 0.0, 0.0416666679084301, 1433.15270996094, 4.95241498947144, 0.0, 4.0, 0.0, 0.0, 0.0, 3.24008440971375, 0.0, 0.0, 0.0, 0.0, 1.84157657623291, 0.0, 0.0, 0.96600329875946, 2.0, 0.0, 0.0, 0.0
