SMILES,THSA,RNCG,WPSA-2,DPSA-3,bpol,WPSA-3,nHBAcc,RPSA,RNCS,RPCG,apol,FNSA-1,FPSA-1,nHBDon,RPCS,FNSA-2,FPSA-2,PNSA-1,PPSA-1,RHSA,FNSA-3,FPSA-3,PNSA-2,PPSA-2,WNSA-1,PNSA-3,PPSA-3,WNSA-2,WNSA-3,TPSA,DPSA-1,WPSA-1,DPSA-2
InChI%3D1S%2FC22H25N3O4S%2Fc1-2-29-22%2827%2923-16-7-8-20-18%2815-16%2925%2817-5-3-4-6-19%2817%2930-20%2921%2826%299-10-24-11-13-28-14-12-24%2Fh3-8%2C15H%2C2%2C9-14H2%2C1H3%2C%28H%2C23%2C27%29, 637.064270019531, 0.157128661870956, 905.1474609375, 67.0604553222656, 39.68017578125, 20.9667148590088, 7.0, 0.152581334114075, 3.72307181358337, 0.117727920413017, 64.7978286743164, 0.334996223449707, 0.665003776550293, 1.0, 0.622000575065613, -0.806797683238983, 1.6015807390213, 251.840255737305, 499.93017578125, 0.847418665885925, -0.0521045662462711, 0.037098802626133, -606.526672363281, 1204.02099609375, 189.326065063477, -39.1706733703613, 27.8897819519043, -455.968811035156, -29.4473552703857, 114.70613861084, 248.089920043945, 375.832733154297, 1810.54772949219
InChI%3D1S%2FC17H22NOS2.BrH%2Fc1-18%282%2911-13%2810-14%2812-18%2919-3%2917%2815-6-4-8-20-15%2916-7-5-9-21-16%3B%2Fh4-9%2C14H%2C10-12H2%2C1-3H3%3B1H%2Fq%2B1%3B%2Fp-1, , , , , 33.1665534973145, , 1.0, , , , 55.3414459228516, , , 0.0, , , , , , , , , , , , , , , , , , , 
InChI%3D1S%2FC26H27NO10%2Fc1-9-21%2830%2913%2827%296-16%2836-9%2937-15-8-26%2835%2C10%282%2928%297-12-18%2815%2925%2834%2920-19%2823%2812%2932%2922%2831%2911-4-3-5-14%2829%2917%2811%2924%2820%2933%2Fh3-5%2C9%2C13%2C15-16%2C21%2C29-30%2C32%2C34-35H%2C6-8%2C27H2%2C1-2H3%2Ft9-%2C13%3F%2C15-%2C16-%2C21%2B%2C26-%2Fm0%2Fs1, 497.937194824219, 0.0990851297974586, 1469.94287109375, 119.428634643555, 35.5625877380371, 29.1951999664307, 8.0, 0.368902713060379, 2.68356204032898, 0.0556113012135029, 72.8834075927734, 0.397834748029709, 0.602165281772614, 6.0, 0.169772550463676, -1.56002283096313, 2.36126065254211, 313.892517089844, 475.109771728516, 0.631097316741943, -0.10446859151125, 0.0468980632722378, -1230.86157226562, 1863.04016113281, 247.661911010742, -82.4259567260742, 37.0026817321777, -971.152587890625, -65.0342712402344, 291.065093994141, 161.217254638672, 374.862701416016, 3093.90161132812
InChI%3D1S%2FC7H8O%2Fc8-6-7-4-2-1-3-5-7%2Fh1-5%2C8H%2C6H2, 292.626617431641, 0.549271106719971, 57.1518402099609, 39.5642852783203, 8.74565601348877, 6.87144184112549, 1.0, 0.195845574140549, 20.1164054870605, 0.295233070850372, 18.4563446044922, 0.393789976835251, 0.606209993362427, 1.0, 10.2277965545654, -0.280364483594894, 0.431600004434586, 143.297653198242, 220.595932006836, 0.804154396057129, -0.0568330362439156, 0.0518918447196484, -102.022834777832, 157.05647277832, 52.145092010498, -20.6811752319336, 18.8831100463867, -37.1254539489746, -7.52574682235718, 71.2669448852539, 77.2982788085938, 80.2734375, 259.079315185547
InChI%3D1S%2FC11H17NO%2Fc1-9%2812-2%298-10-6-4-5-7-11%2810%2913-3%2Fh4-7%2C9%2C12H%2C8H2%2C1-3H3, 423.388153076172, 0.360965967178345, 145.537689208984, 25.4494781494141, 21.1605186462402, 7.4875226020813, 1.0, 0.0328088589012623, 1.35694682598114, 0.126433148980141, 32.5974807739258, 0.213059276342392, 0.786940693855286, 1.0, 2.12568974494934, -0.205627471208572, 0.759491086006165, 93.2667541503906, 344.483489990234, 0.967191159725189, -0.0190632082521915, 0.0390737727284431, -90.0134735107422, 332.467407226562, 40.8275413513184, -8.3449239730835, 17.1045532226562, -39.4034194946289, -3.65299272537231, 14.3620853424072, 251.216735839844, 150.797729492188, 422.480865478516
InChI%3D1S%2FC5H11NO2%2Fc1-3-5%282%294-8-6-7%2Fh5H%2C3-4H2%2C1-2H3, 308.463470458984, 0.410264253616333, 40.4069595336914, 18.612361907959, 13.5792770385742, 2.91977405548096, 0.0, 0.0319948196411133, 4.18282175064087, 0.193512484431267, 18.8387222290039, 0.246076211333275, 0.753923773765564, 0.0, 5.44863891601562, -0.12988118827343, 0.397927612066269, 78.4143753051758, 240.244522094727, 0.968005180358887, -0.0296544916927814, 0.0287539251148701, -41.3877944946289, 126.803176879883, 24.9874382019043, -9.44966793060303, 9.16269397735596, -13.1885900497437, -3.01122069358826, 10.1954336166382, 161.830154418945, 76.5560607910156, 168.190963745117
InChI%3D1S%2FC21H28N2O5%2Fc1-23%282%2910-11-28-17-8-6-15%287-9-17%2914-22-21%2824%2916-12-18%2825-3%2920%2827-5%2919%2813-16%2926-4%2Fh6-9%2C12-13H%2C10-11%2C14H2%2C1-5H3%2C%28H%2C22%2C24%29, 740.939208984375, 0.135799378156662, 1428.177734375, 70.5742568969727, 41.5737953186035, 31.0638618469238, 3.0, 0.119373418390751, 2.63757514953613, 0.086167111992836, 61.840202331543, 0.207904860377312, 0.792095124721527, 1.0, 0.627137541770935, -0.529526829719543, 2.01744031906128, 174.926422119141, 666.450866699219, 0.880626559257507, -0.0399987101554871, 0.0438807345926762, -445.531860351562, 1697.42846679688, 147.179122924805, -33.6540069580078, 36.9202537536621, -374.860382080078, -28.3157176971436, 100.438079833984, 491.524444580078, 560.736633300781, 2142.96020507812
InChI%3D1S%2FC18H37N5O9%2Fc19-3-9-8%2825%292-7%2822%2917%2829-9%2931-15-5%2820%291-6%2821%2916%2814%2815%2928%2932-18-13%2827%2911%2823%2912%2826%2910%284-24%2930-18%2Fh5-18%2C24-28H%2C1-4%2C19-23H2%2Ft5-%2C6%2B%2C7%3F%2C8-%2C9%3F%2C10%2B%2C11-%2C12%2B%2C13%2B%2C14-%2C15%3F%2C16-%2C17%2B%2C18%3F%2Fm0%2Fs1, 402.203552246094, 0.0792551934719086, 1531.86804199219, 113.564552307129, 44.8126602172852, 29.2286605834961, 14.0, 0.394346684217453, 1.53934073448181, 0.0424406640231609, 69.0693435668945, 0.299455970525742, 0.700544059276581, 10.0, 0.0, -1.48482501506805, 3.47358345985413, 198.863357543945, 465.218780517578, 0.605653285980225, -0.104732416570187, 0.066277377307415, -986.045715332031, 2306.74487304688, 132.061599731445, -69.5509262084961, 44.0136222839355, -654.815368652344, -46.1875305175781, 261.878601074219, 266.355438232422, 308.943481445312, 3292.79052734375
InChI%3D1S%2FC14H14N2O%2Fc1-14%282%2C12-6-4-8-16-10-12%2913%2817%2911-5-3-7-15-9-11%2Fh3-10H%2C1-2H3, 370.034759521484, 0.260557681322098, 158.46858215332, 40.4587860107422, 18.9028987884521, 7.12233924865723, 3.0, 0.178891509771347, 6.90838003158569, 0.154969215393066, 36.9771003723145, 0.305271565914154, 0.694728434085846, 0.0, 0.0, -0.342870801687241, 0.780295789241791, 137.571441650391, 313.081237792969, 0.821108520030975, -0.0547079592943192, 0.0350702404975891, -154.515655517578, 351.642395019531, 61.996940612793, -24.6542892456055, 15.804497718811, -69.6328964233398, -11.1105213165283, 80.6179351806641, 175.509796142578, 141.090896606445, 506.158050537109
InChI%3D1S%2FC12H12N2O2S%2Fc13-9-1-5-11%286-2-9%2917%2815%2C16%2912-7-3-10%2814%294-8-12%2Fh1-8H%2C13-14H2, 388.019866943359, 0.219285652041435, 194.690841674805, 56.7027473449707, 18.2744846343994, 11.9279918670654, 4.0, 0.227316170930862, 4.79220342636108, 0.149826481938362, 35.8255157470703, 0.440230935811996, 0.559769034385681, 2.0, 0.0903732031583786, -0.607173681259155, 0.772042572498322, 221.071472167969, 281.100128173828, 0.77268385887146, -0.0656148791313171, 0.0473002046346664, -304.905364990234, 387.697845458984, 111.015815734863, -32.9499282836914, 23.7528209686279, -153.114822387695, -16.5465183258057, 114.151725769043, 60.0286445617676, 141.160491943359, 692.603210449219
