SMILES,AMR,nAtomP,LipinskiFailures,ALogp2,nAtom,nAtomLAC,LipinksiFailures,nAromBond,nHBDon,naAromAtom,nB,ALogP,nAtomLC,nRotB,XLogP,MLogP
OC=Nc1scc(n1)c1ccc(o1)N(=O)=O, 22.1271991729736, 16.0, 0.0, 0.0573123581707478, 21.0, 0.0, , 10.0, 1.0, 10.0, 17.0, 0.239399999380112, 3.0, 3.0, 1.51699995994568, 1.46000003814697
Cl.CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C, 35.1859016418457, 16.0, 0.0, 0.108900003135204, 43.0, 0.0, , 12.0, 1.0, 12.0, 21.0, 0.330000013113022, 3.0, 4.0, 4.52699995040894, 2.89000010490417
COCCl, 17.6518993377686, 0.0, 0.0, 0.237558767199516, 9.0, 0.0, , 0.0, 0.0, 0.0, 3.0, 0.487399995326996, 4.0, 1.0, 0.426999986171722, 1.46000003814697
CC=C1C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3(=O)CCC(OC1=O)[C@@H]23, 86.7670974731445, 5.0, 0.0, 0.766325175762177, 51.0, 2.0, , 0.0, 2.0, 0.0, 28.0, -0.875400006771088, 2.0, 1.0, -1.13999998569489, 2.55999994277954
OC(CN(CC=C)N=O)CO, 41.4679985046387, 3.0, 0.0, 0.117306247353554, 23.0, 3.0, , 0.0, 2.0, 0.0, 10.0, -0.342500001192093, 11.0, 6.0, -1.04100000858307, 1.57000005245209
ClC=C(C)C, 24.7329006195068, 2.0, 0.0, 3.42509055137634, 12.0, 3.0, , 0.0, 0.0, 0.0, 4.0, 1.8507000207901, 5.0, 0.0, 1.71300005912781, 1.78999996185303
[O-]C(=O)O.[K+], , 4.0, 0.0, , 6.0, 0.0, , 0.0, 1.0, 0.0, 3.0, , 4.0, 0.0, -0.711000025272369, 1.12999999523163
O=NN(c1ccccc1)c1ccccc1, 8.65709972381592, 15.0, 0.0, 0.0129504399374127, 25.0, 0.0, , 12.0, 0.0, 12.0, 16.0, -0.113799996674061, 3.0, 3.0, 4.81099987030029, 2.45000004768372
OC1=NC(=O)N(/N=C/c2ccc(o2)N(=O)=O)C1, 32.3368988037109, 16.0, 0.0, 1.64070475101471, 23.0, 0.0, , 5.0, 1.0, 5.0, 18.0, -1.28090000152588, 2.0, 3.0, 0.880999982357025, 1.35000002384186
O=N(=O)c1ccc2ccc3cccc4ccc1C2C34, 2.88579988479614, 19.0, 1.0, 0.00217155995778739, 28.0, 0.0, , 19.0, 0.0, 16.0, 22.0, -0.0465999990701675, 3.0, 1.0, 6.95699977874756, 2.89000010490417
O=N(=O)c1ccc(s1)c1nc2ccccc2c(n1)N1CCOCC1, 34.0452003479004, 19.0, 0.0, 0.202050253748894, 38.0, 0.0, , 16.0, 0.0, 15.0, 27.0, 0.449499994516373, 3.0, 3.0, 3.39000010490417, 2.33999991416931
OCCCN(N=O)C(=N)O, 32.0351982116699, 6.0, 0.0, 0.161684408783913, 19.0, 3.0, , 0.0, 3.0, 0.0, 9.0, -0.402099996805191, 10.0, 5.0, -0.5, 1.24000000953674
N=c1[nH]c(=N)[nH]c(n1)c1ccc(o1)N(=O)=O, 27.5818004608154, 8.0, 0.0, 0.246214434504509, 24.0, 0.0, , 5.0, 5.0, 5.0, 17.0, -0.496199995279312, 2.0, 2.0, 1.74699997901917, 1.24000000953674
Nc1ccc(O)c(c1)N(=O)=O, 9.67249965667725, 11.0, 0.0, 1.57954621315002, 17.0, 0.0, , 6.0, 2.0, 6.0, 11.0, -1.25680005550385, 2.0, 1.0, 1.54799997806549, 1.57000005245209
CC=C1CC(=C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)C23, 88.9273986816406, 5.0, 0.0, 0.0552720092236996, 48.0, 2.0, , 0.0, 2.0, 0.0, 27.0, 0.235100001096725, 2.0, 1.0, 0.137999996542931, 2.67000007629395
O=NN1CCCC1, 23.9046993255615, 3.0, 0.0, 0.444355547428131, 15.0, 0.0, , 0.0, 0.0, 0.0, 7.0, -0.666599988937378, 2.0, 1.0, 0.46000000834465, 1.57000005245209
N=c1ccc2nc3c(C)cccn3c2[nH]1, 41.2084999084473, 3.0, 0.0, 0.00364816002547741, 31.0, 0.0, , 5.0, 3.0, 0.0, 17.0, -0.0604000017046928, 0.0, 0.0, 1.86600005626678, 2.23000001907349
C=CCN(N=O)CC=C, 38.3759002685547, 3.0, 0.0, 1.75403535366058, 19.0, 3.0, , 0.0, 0.0, 0.0, 8.0, 1.32439994812012, 9.0, 5.0, 0.954999983310699, 1.78999996185303
CC(=NCc1onc(n1)c1ccc(o1)N(=O)=O)O, 24.550199508667, 8.0, 0.0, 0.408448815345764, 26.0, 2.0, , 10.0, 1.0, 5.0, 19.0, -0.639100015163422, 5.0, 4.0, 1.18900001049042, 1.46000003814697
Nc1ccc2c(c1)oc1ccccc21, 5.84119987487793, 14.0, 0.0, 0.817215979099274, 23.0, 0.0, , 15.0, 1.0, 12.0, 16.0, -0.903999984264374, 0.0, 0.0, 3.03299999237061, 2.55999994277954
CC(=Nc1nc(N=C(C)O)nc(n1)c1ccc(o1)N(=O)=O)O, 32.3064994812012, 20.0, 0.0, 0.118404813110828, 32.0, 2.0, , 11.0, 2.0, 11.0, 23.0, -0.344099998474121, 4.0, 4.0, 1.70799994468689, 1.46000003814697
CC(C)N=N(=O)C(C)C, 34.1467018127441, 3.0, 0.0, 0.428239345550537, 23.0, 3.0, , 0.0, 0.0, 0.0, 8.0, -0.654399991035461, 9.0, 2.0, 1.39400005340576, 1.78999996185303
OCCN(N=O)C(=NCCCl)O, 43.9767990112305, 6.0, 0.0, 0.184212639927864, 22.0, 2.0, , 0.0, 2.0, 0.0, 11.0, 0.429199993610382, 12.0, 6.0, -0.291000008583069, 1.24000000953674
O=C1N(SC(Cl)(Cl)C(Cl)Cl)C(=O)C2CC=CCC12, 77.7978973388672, 5.0, 0.0, 7.41854190826416, 27.0, 2.0, , 0.0, 0.0, 0.0, 19.0, 2.72370004653931, 7.0, 3.0, 2.76999998092651, 1.67999994754791
Nc1ccc2ccccc2c1, 4.22209978103638, 11.0, 0.0, 0.562350034713745, 20.0, 0.0, , 11.0, 1.0, 10.0, 12.0, -0.749899983406067, 0.0, 0.0, 3.8529999256134, 2.45000004768372
Oc1ccc2ccccc2c1/N=N/c1ccccc1, 2.56459999084473, 19.0, 1.0, 0.211876094341278, 31.0, 0.0, , 17.0, 1.0, 16.0, 21.0, -0.460299998521805, 2.0, 2.0, 6.59100008010864, 2.89000010490417
COP(=O)(OC)N1CCOCC1, 44.0197982788086, 5.0, 0.0, 0.297570258378983, 26.0, 0.0, , 0.0, 0.0, 0.0, 12.0, -0.545499980449677, 6.0, 3.0, -1.04700005054474, 1.46000003814697
OCCN1CCN(/N=C\c2ccc(o2)N(=O)=O)C1=O, 43.4118995666504, 14.0, 0.0, 1.62945222854614, 31.0, 2.0, , 5.0, 1.0, 5.0, 20.0, -1.27649998664856, 3.0, 5.0, 0.437000006437302, 1.57000005245209
c1ccc2ccoc2c1, 1.61909997463226, 7.0, 0.0, 0.0237468108534813, 15.0, 0.0, , 10.0, 0.0, 6.0, 10.0, -0.154100000858307, 0.0, 0.0, 2.64599990844727, 2.23000001907349
COc1cc2OC3OC=CC3c2c2oc3cccc(O)c3c(=O)c12, 35.6242980957031, 18.0, 0.0, 2.14710402488708, 36.0, 0.0, , 12.0, 1.0, 12.0, 28.0, -1.46529996395111, 2.0, 1.0, 1.72200000286102, 2.77999997138977
O=NN(C)CCCC(=O)c1cccnc1, 31.8728008270264, 8.0, 0.0, 0.267185598611832, 28.0, 4.0, , 6.0, 0.0, 6.0, 15.0, -0.51690000295639, 9.0, 6.0, 0.605000019073486, 2.00999999046326
CCN(CC)C(=S)SCC(=C)Cl, 62.7835998535156, 3.0, 0.0, 10.0267219543457, 26.0, 3.0, , 0.0, 0.0, 0.0, 11.0, 3.16650009155273, 12.0, 6.0, 2.74499988555908, 1.89999997615814
