SMILES,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,C1SP2,C1SP3,C2SP2,C2SP3,C3SP2,C3SP3,ECCEN,fragC,khs.aaaC,khs.aaCH,khs.aaN,khs.aaNH,khs.aaO,khs.aasC,khs.ddsN,khs.ddssS,khs.dNH,khs.dO,khs.dsCH,khs.dsN,khs.dssC,khs.sBr,khs.sCH3,khs.sCl,khs.sF,khs.sNH2,khs.sOH,khs.ssCH2,khs.ssNH,khs.ssO,khs.ssS,khs.sssCH,khs.sssN,khs.ssssC,Kier1,Kier2,Kier3,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MDEO-11,MDEO-12,MDEO-22,PetitjeanNumber,SC-3,SC-4,SC-5,SC-6,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,SPC-4,SPC-5,SPC-6,TopoPSA,topoShape,VAdjMat,VC-3,VC-4,VC-5,VC-6,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,VPC-4,VPC-5,VPC-6,WPATH,WPOL,Zagreb
InChI%3D1S%2FC2H4N4%2Fc3-2-4-1-5-6-2%2Fh1H%2C%28H3%2C3%2C4%2C5%2C6%29,0.143685355782509,-0.117957346141338,0.0580769814550877,-0.0119623141363263,0,7.43995237350464,7.19091415405273,8.77232265472412,2.52617335319519,0,212.850067138672,221.123748779297,248.555191040039,56.8419914245605,0,0,0,0,0,0,0,29,114.040000915527,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,4.16666650772095,1.63265311717987,0.979591846466064,0,0,0,0,0,0.5,0,0,0,0,0,1.31037068367004,0,1.88988161087036,0,0,0,0,0,0.333333343267441,0.288675129413605,0,0,0,0,0,0.144337564706802,0.144337564706802,0,4.40577745437622,2.8938467502594,2.38962864875793,1.64384686946869,1.12993609905243,0.288675129413605,0,0,0.40824830532074,0.433012694120407,0,59.939998626709,0.5,3.58496260643005,0.0625,0,0,0,0,0,0.0441941730678082,0.0220970865339041,0,3.20710682868958,1.70710682868958,1.03033006191254,0.566941738128662,0.309359222650528,0.0441941730678082,0,0,0.0754441767930984,0.0662912577390671,0,26,2,26
InChI%3D1S%2FC2H5N3O2%2Fc1-5%284-7%292%283%296%2Fh1H3%2C%28H2%2C3%2C6%29,0.161995515227318,-0.115917377173901,0.099287636578083,-0.0974544435739517,0.0330864191055298,9.62890243530273,7.74410200119019,9.35275650024414,8.07591533660889,3.32793498039246,173.517120361328,168.463088989258,178.251937866211,120.336395263672,26.9302577972412,0,0,0,0,0,0,36,79.0500030517578,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,7,3.06122446060181,2.66666674613953,0,0,0.5,0,0,0,0,0,0,0,0,0.333333343267441,0.5,0,1,0,0.25,0,0,0.5,0.569035589694977,0,0.235702261328697,0,0,0,0,0,0,5.86180734634399,3.18073916435242,2.62954902648926,1.78202176094055,0.471404522657394,0,0,0,1.27614235877991,0.70710676908493,0.235702261328697,76.75,1,3.80735492706299,0.150000005960464,0,0.0223606806248426,0,0,0,0,0,0,3.74988913536072,1.52700138092041,0.928863227367401,0.428999245166779,0.0386698320508003,0,0,0,0.207906872034073,0.0477985441684723,0.00912870932370424,46,6,26
InChI%3D1S%2FC2Cl6%2Fc3-1%284%2C5%292%286%2C7%298,0.292480915784836,-0.109680347144604,-0.146240457892418,0.109680347144604,0,54.2765197753906,18.7104244232178,69.986946105957,78.4147796630859,0,708.911071777344,771.783020019531,998.993408203125,581.665893554688,0,0,2,0,0,0,0,34,7.05999994277954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,8,1.75,2.22222232818604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333343267441,2.5,0.5,2.25,1.5,0,0,0,0,0,7,3.25,4.5,2.25,0,0,0,0,4.5,1.5,0,0,0.5,4,3.38643431663513,0.728931486606598,3.7193877696991,2.81159281730652,0,0,0,0,0,7.80336046218872,3.65168023109436,5.55798292160034,2.89285707473755,0,0,0,0,6.56038331985474,2.47959184646606,0,58,9,38
InChI%3D1S%2FC6H6N6O%2Fc1-12%2811-13%296-4-5%288-2-7-4%299-3-10-6%2Fh2-3H%2C1H3%2C%28H%2C7%2C8%2C9%2C10%29,0.32803001999855,-0.249840810894966,0.156148880720139,-0.0953777730464935,0.048917505890131,15.9343976974487,16.5753059387207,22.3229007720947,21.5998039245605,18.3226222991943,612.401489257812,715.247314453125,982.363098144531,847.903503417969,611.011779785156,0,2,0,1,0,0,133,205.070007324219,2,2,4,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9.55102062225342,4.02216053009033,1.77514791488647,0,0.447213590145111,1.04004192352295,0,0.25,2.62074136734009,0,2.38110160827637,0,0,0,0,0,3.20884418487549,2.00685381889343,0,0,0,0,0.5,0.674534440040588,0,0.219821989536285,0,0,0,0.117851130664349,0.219416096806526,0.329943060874939,9.25914859771729,6.3256983757019,5.33512830734253,4.75503921508789,3.82666730880737,2.72473883628845,1.70034193992615,1.08760070800781,1.95502305030823,3.19790649414062,4.05203819274902,84.2300033569336,1,4.70043992996216,0.255901694297791,0,0.0447213612496853,0,0,0,0.0288675129413605,0.0417774580419064,0.0461833924055099,6.7462306022644,3.48061728477478,2.34841465950012,1.57949984073639,0.987249910831451,0.521013081073761,0.234757125377655,0.110008023679256,0.521505653858185,0.635638177394867,0.587362706661224,229,18,66
InChI%3D1S%2FC3H4Cl2%2Fc4-2-1-3-5%2Fh1-2H%2C3H2,0.0772592276334763,-0.0332078598439693,0.0113530382514,-0.0365978591144085,0.0198230687528849,20.4255065917969,7.90347480773926,6.90347480773926,5.90347480773926,8.71275329589844,206.063125610352,174.897933959961,125.042137145996,74.689338684082,28.1061096191406,1,1,1,0,0,0,24,44.0200004577637,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,5,4,4,0,0,0,0,2.38110160827637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4.12132024765015,2.41421365737915,1.35355341434479,0.70710676908493,0.353553384542465,0,0,0,0,0,0,0,1,3.32192802429199,0,0,0,0,0,0,0,0,0,4.12959432601929,2.19801902770996,1.0765768289566,0.534522473812103,0.303045749664307,0,0,0,0,0,0,20,2,14
InChI%3D1S%2FC6H11Cl3O3%2Fc7-3-10-1-6%2812-5-9%292-11-4-8%2Fh6H%2C1-5H2,0.694509625434875,-0.488427400588989,0.067335419356823,0.230953961610794,-0.245941653847694,37.4616661071777,18.8477649688721,21.124324798584,19.0683345794678,20.9097862243652,508.957275390625,500.190856933594,510.253051757812,502.404876708984,467.279357910156,0,2,0,1,0,0,129,352.059997558594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,1,0,0,12,9.09090900421143,7.43801641464233,0,0,0,0,2.99395751953125,2.80488777160645,0,0,0,0,0,0,0,0,0,0,0,0,0.908560276031494,0.5,0.20412415266037,0,0,0,0,0,0,0,0,9.23420429229736,5.84606504440308,3.93915748596191,2.62877511978149,1.82685959339142,1.2742737531662,0.68454122543335,0.348461717367172,0.433012694120407,0.654647946357727,0.696923434734344,27.6900005340576,1,4.58496236801147,0.117851130664349,0,0,0,0,0,0,0,0,8.73930931091309,4.9009256362915,2.51223731040955,1.495081782341,0.941751778125763,0.543282866477966,0.255511283874512,0.142036244273186,0.179558381438255,0.250215739011765,0.230193644762039,238,11,44
InChI%3D1S%2FC13H19NO4S%2Fc1-3-9-14%2810-4-2%2919%2817%2C18%2912-7-5-11%286-8-12%2913%2815%2916%2Fh5-8H%2C3-4%2C9-10H2%2C1-2H3%2C%28H%2C15%2C16%29,0.393407076597214,-0.225583180785179,0.110941134393215,-0.0452685616910458,0.0249997992068529,28.5856170654297,28.8926029205322,37.1619338989258,40.328987121582,36.3268280029297,1378.61010742188,1561.46447753906,2126.85888671875,2227.73046875,1882.322265625,1,4,0,7,0,1,285,1102.06005859375,0,4,0,0,0,2,0,1,0,3,0,0,1,0,2,0,0,0,1,4,0,0,0,0,1,0,17.0526313781738,7.69526624679565,4.5,0.16666667163372,3.96323800086975,0.843432664871216,0,8.47937297821045,7.83986806869507,0,1.31037068367004,0,0,0,0,0,0,0,0,1.30139529705048,0,0,0.5,1.69935870170593,0.16666667163372,0.788675129413605,0.16666667163372,0,0,0,0.0833333358168602,0.0897791907191277,14.4662551879883,8.92908763885498,7.95136165618896,6.09331893920898,4.44849109649658,3.16871404647827,1.87871253490448,1.34092473983765,3.95201086997986,5.16045618057251,6.31968975067139,83.0599975585938,1,5.24792766571045,0.762588500976562,0.0323152802884579,0.203542768955231,0.0269294008612633,0,0,0,0.0277777779847383,0.0379752777516842,11.6241102218628,7.07509803771973,5.32271289825439,3.76006984710693,2.68220210075378,1.76520574092865,0.932032406330109,0.455118477344513,1.68071365356445,2.18480658531189,2.49317145347595,728,29,90
InChI%3D1S%2FC11H17N3O4%2Fc1-12-10-3-2-9%288-11%2810%2914%2817%2918%2913%284-6-15%295-7-16%2Fh2-3%2C8%2C12%2C15-16H%2C4-7H2%2C1H3,0.416644424200058,-0.132842302322388,-0.184079736471176,0.118973515927792,0.0343369618058205,22.1778411865234,20.7682266235352,26.4323196411133,29.7924003601074,30.7883968353271,954.350341796875,1076.61901855469,1407.56750488281,1487.86584472656,1270.50952148438,0,4,0,6,0,0,244,919.070007324219,0,3,0,0,0,3,1,0,0,2,0,0,0,0,1,0,0,0,2,4,1,0,0,0,1,0,16.0555553436279,8.22684288024902,4.56599283218384,0,1.27478933334351,0.965489387512207,0,7.36638021469116,8.0069055557251,0,1.65096366405487,0,0,0,0,0,0,0.516397774219513,0.25,0.99135160446167,0,0,0.444444447755814,0.969416081905365,0,0.287457466125488,0,0,0,0,0.0680413842201233,0.126679942011833,13.5436058044434,8.63375854492188,6.98676156997681,5.45494270324707,4.41096067428589,3.36733889579773,2.06219673156738,1.32175493240356,2.39111232757568,3.65876579284668,4.87816905975342,101.550003051758,0.800000011920929,5.16992521286011,0.360325306653976,0,0.0666599869728088,0,0,0,0,0.0240562614053488,0.0335447043180466,10.165828704834,5.56530714035034,3.6428234577179,2.55233263969421,1.69061100482941,1.00296807289124,0.506050169467926,0.284815698862076,0.85537314414978,1.1070761680603,1.09820675849915,618,26,82
InChI%3D1S%2FC12H27O4P%2Fc1-4-7-10-14-17%2813%2C15-11-8-5-2%2916-12-9-6-3%2Fh4-12H2%2C1-3H3,0.550389409065247,-0.579319775104523,0.583196222782135,-0.310027956962585,-0.000262431451119483,25.7482891082764,26.7372817993164,28.3796081542969,26.721622467041,26.721622467041,580.131408691406,571.311096191406,599.830810546875,601.969177246094,609.612976074219,0,6,0,6,0,0,236,1577.05004882812,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,3,0,0,0,0,17,11.1111106872559,9.67901229858398,0.300000011920929,5.55088710784912,0,0,8.99300861358643,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0.5,0.926776707172394,0.176776692271233,0,0,0,0,0,0,0,12.9852809906006,8.18198013305664,6.1819806098938,4.15165042877197,2.78033018112183,1.81066012382507,1.46783006191254,0.640165030956268,1.43566012382507,2.03033018112183,1.88832521438599,54.5699996948242,1,5.08746290206909,0.182665541768074,0.0186432246118784,0,0,0,0,0,0,0,11.6681098937988,7.08333921432495,4.42542695999146,2.61653876304626,1.3947879076004,0.883842825889587,0.607617795467377,0.286433756351471,0.290619105100632,0.3820461332798,0.367020457983017,616,18,68
InChI%3D1S%2FC2H5N%2Fc1-2-3-1%2Fh3H%2C1-2H2,0.0693461298942566,-0.0346730649471283,0,0,0,3.35998797416687,3.33237051963806,0,0,0,61.0993919372559,61.0619506835938,0,0,0,0,2,0,0,0,0,6,58.0099983215332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.33333337306976,0.222222223877907,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353553384542465,0,0,0,0,2.12132024765015,1.5,1.06066012382507,0,0,0,0,0,0,0,0,21.9400005340576,0,2.58496260643005,0,0,0,0,0.25,0,0,0,0,1.91421353816986,1.20710682868958,0.75,0,0,0,0,0,0,0,0,3,0,12
