SMILES,VP-2,VC-4,MDEO-22,MDEC-44,VP-3,VC-5,C1SP1,VP-4,VC-6,C1SP2,khs.ssNH,ATSc1,C1SP3,VP-5,khs.dNH,ATSc2,VP-6,ATSc3,Zagreb,MDEN-22,SPC-4,khs.ddsN,VP-7,ATSc4,MDEN-23,SPC-5,khs.sBr,ATSc5,SPC-6,khs.sssN,khs.tN,ECCEN,VPC-4,khs.dsN,MDEC-22,VPC-5,geomShape,MDEC-23,VCH-3,Kier1,khs.dsCH,khs.aaN,VPC-6,MDEC-24,VCH-4,C4SP3,khs.sNH2,Kier2,khs.aaO,VCH-5,Kier3,khs.aaaC,VCH-6,khs.ssO,khs.sCl,TPSA,VCH-7,khs.sCH3,SCH-3,khs.aaS,khs.ssssC,SCH-4,SCH-5,khs.ssS,SCH-6,MDEN-33,SP-0,SP-1,khs.sOH,SC-3,C3SP2,SC-4,SP-2,ATSm1,SC-5,MDEO-11,MDEC-33,khs.dO,SP-3,khs.sF,ATSm2,MDEO-12,MDEC-34,SP-4,ATSm3,khs.aasC,SP-5,ATSm4,SP-6,ATSm5,SP-7,khs.sssCH,PetitjeanNumber,fragC,MDEN-11,ATSp5,MDEN-12,MDEN-13,khs.aaNH,MDEC-11,khs.ssCH2,MDEC-12,C2SP1,TopoPSA,topoShape,MDEC-13,C2SP2,VAdjMat,VP-0,MDEC-14,khs.ddssS,khs.dssC,khs.aaCH,khs.aasN,VP-1
InChI%3D1S%2FC2H4N4%2Fc3-2-4-1-5-6-2%2Fh1H%2C%28H3%2C3%2C4%2C5%2C6%29,1.03033006191254,59.939998626709,0,0,0.566941738128662,0.288675129413605,2,0.309359222650528,0,221.123748779297,3,0,0,0.0441941730678082,1,0.0625,0,0,0,0,0.40824830532074,0,0,0,0,0.433012694120407,0,0,0,0,0,0,0.0754441767930984,0,0.0220970865339041,0.0662912577390671,1.31037068367004,0,29,4.16666650772095,0,0,0,0,0,0,0,1.63265311717987,0,0,0.979591846466064,0,0.144337564706802,0,0,0,0.144337564706802,0,0,0,0,0,0,0,0,0,4.40577745437622,2.8938467502594,0,0,56.8419914245605,0,2.38962864875793,7.43995237350464,0.5,0,0,0,1.64384686946869,0,7.19091415405273,0.5,0,1.12993609905243,8.77232265472412,0,0.288675129413605,2.52617335319519,0,0,0,0,0.333333343267441,114.040000915527,0,26,0,0,0,0,1,0,212.850067138672,1.88988161087036,0,0,248.555191040039,3.58496260643005,3.20710682868958,0.0441941730678082,0,1,0,0,1.70710682868958
InChI%3D1S%2FC2H5N3O2%2Fc1-5%284-7%292%283%296%2Fh1H3%2C%28H2%2C3%2C6%29,0.928863227367401,76.75,0,0,0.428999245166779,0.569035589694977,6,0.0386698320508003,0,168.463088989258,0,0,26.9302577972412,0,1,0.150000005960464,0,0,0.235702261328697,0.25,1.27614235877991,0,0,0.0223606806248426,0,0.70710676908493,0,0,0.235702261328697,1,0,0,0.207906872034073,1,0,0.0477985441684723,0.333333343267441,0,36,7,0,0,0.00912870932370424,0,0,0,0,3.06122446060181,0,0,2.66666674613953,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,5.86180734634399,3.18073916435242,1,1,120.336395263672,0,2.62954902648926,9.62890243530273,1,0,0,1,1.78202176094055,0,7.74410200119019,0,0.5,0.471404522657394,9.35275650024414,0,0,8.07591533660889,0,3.32793498039246,0,0,0.5,79.0500030517578,0,46,0,0,0,0,0,0,173.517120361328,0,0,0,178.251937866211,3.80735492706299,3.74988913536072,0,0,1,0,0,1.52700138092041
InChI%3D1S%2FC2Cl6%2Fc3-1%284%2C5%292%286%2C7%298,5.55798292160034,0,0,0,2.89285707473755,2.5,9,0,0.5,771.783020019531,0,1.5,0,0,0,3.38643431663513,0,0.728931486606598,2.25,0,4.5,0,0,3.7193877696991,0,1.5,0,2.81159281730652,0,0,0,0,6.56038331985474,0,0,2.47959184646606,0,0,34,8,0,0,0,0,0,0,0,1.75,0,0,2.22222232818604,0,0,0,6,0,0,0,0,0,2,2,0,0,0,0,7,3.25,0,0,581.665893554688,0,4.5,54.2765197753906,0.5,0,0,0,2.25,0,18.7104244232178,0,0,0,69.986946105957,0,0,78.4147796630859,0,0,0,0,0.333333343267441,7.05999994277954,0,58,0,1,0,0,0,0,708.911071777344,0,0,0,998.993408203125,4,7.80336046218872,0,0,0,0,0,3.65168023109436
InChI%3D1S%2FC6H6N6O%2Fc1-12%2811-13%296-4-5%288-2-7-4%299-3-10-6%2Fh2-3H%2C1H3%2C%28H%2C7%2C8%2C9%2C10%29,2.34841465950012,84.2300033569336,0,0,1.57949984073639,0.674534440040588,18,0.987249910831451,0,715.247314453125,0,0,611.011779785156,0.521013081073761,0,0.255901694297791,0.234757125377655,0,0.219821989536285,0,1.95502305030823,0,0.110008023679256,0.0447213612496853,0,3.19790649414062,0,0,4.05203819274902,1,0,0,0.521505653858185,1,0.0417774580419064,0.635638177394867,0,0.0461833924055099,133,9.55102062225342,0,4,0.587362706661224,0,0,0,0,4.02216053009033,0,0,1.77514791488647,2,0.117851130664349,0,0,0,0.219416096806526,1,0,0,0,2,1,0,0,0,9.25914859771729,6.3256983757019,0,2.00685381889343,847.903503417969,0,5.33512830734253,15.9343976974487,1,0.25,0.447213590145111,1,4.75503921508789,0,16.5753059387207,2.62074136734009,1.04004192352295,3.82666730880737,22.3229007720947,1,2.72473883628845,21.5998039245605,1.70034193992615,18.3226222991943,1.08760070800781,0,0.5,205.070007324219,2.38110160827637,229,0,0,2,0.329943060874939,0,0,612.401489257812,3.20884418487549,0,0,982.363098144531,4.70043992996216,6.7462306022644,0.0288675129413605,0,0,2,0,3.48061728477478
InChI%3D1S%2FC3H4Cl2%2Fc4-2-1-3-5%2Fh1-2H%2C3H2,1.0765768289566,0,0,0,0.534522473812103,0,2,0.303045749664307,0,174.897933959961,0,0,28.1061096191406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,5,2,0,0,0,0,1,0,4,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4.12132024765015,2.41421365737915,0,0,74.689338684082,0,1.35355341434479,20.4255065917969,1,2.38110160827637,0,0,0.70710676908493,0,7.90347480773926,0,0,0.353553384542465,6.90347480773926,0,0,5.90347480773926,0,8.71275329589844,0,0,0.5,44.0200004577637,0,20,0,0,0,0,1,0,206.063125610352,0,0,0,125.042137145996,3.32192802429199,4.12959432601929,0,0,0,0,0,2.19801902770996
InChI%3D1S%2FC6H11Cl3O3%2Fc7-3-10-1-6%2812-5-9%292-11-4-8%2Fh6H%2C1-5H2,2.51223731040955,27.6900005340576,0,0,1.495081782341,0.20412415266037,11,0.941751778125763,0,500.190856933594,0,0,467.279357910156,0.543282866477966,0,0.117851130664349,0.255511283874512,0,0,0,0.433012694120407,0,0.142036244273186,0,0,0.654647946357727,0,0,0.696923434734344,0,0,0,0.179558381438255,0,0,0.250215739011765,0,0,129,12,0,0,0.230193644762039,0,0,0,0,9.09090900421143,0,0,7.43801641464233,0,0,3,3,0,0,0,0,0,0,2,1,0,0,0.908560276031494,9.23420429229736,5.84606504440308,0,0,502.404876708984,0,3.93915748596191,37.4616661071777,1,2.99395751953125,0,0,2.62877511978149,0,18.8477649688721,2.80488777160645,0,1.82685959339142,21.124324798584,0,1.2742737531662,19.0683345794678,0.68454122543335,20.9097862243652,0.348461717367172,1,0.5,352.059997558594,0,238,0,0,0,0,5,0,508.957275390625,0,0,0,510.253051757812,4.58496236801147,8.73930931091309,0,0,0,0,0,4.9009256362915
InChI%3D1S%2FC13H19NO4S%2Fc1-3-9-14%2810-4-2%2919%2817%2C18%2912-7-5-11%286-8-12%2913%2815%2916%2Fh5-8H%2C3-4%2C9-10H2%2C1-2H3%2C%28H%2C15%2C16%29,5.32271289825439,83.0599975585938,0,0,3.76006984710693,1.69935870170593,29,2.68220210075378,0.16666667163372,1561.46447753906,0,0.16666667163372,1882.322265625,1.76520574092865,0,0.762588500976562,0.932032406330109,0.0323152802884579,0.788675129413605,1.30139529705048,3.95201086997986,0,0.455118477344513,0.203542768955231,0,5.16045618057251,0,0.0269294008612633,6.31968975067139,1,0,0,1.68071365356445,0,0.0277777779847383,2.18480658531189,0,0.0379752777516842,285,17.0526313781738,0,0,2.49317145347595,0.16666667163372,0,1,0,7.69526624679565,0,0,4.5,0,0,0,0,0,0.0833333358168602,2,0,0,0,4,7,0,1,0,14.4662551879883,8.92908763885498,1,0,2227.73046875,0,7.95136165618896,28.5856170654297,1,8.47937297821045,3.96323800086975,3,6.09331893920898,0,28.8926029205322,7.83986806869507,0.843432664871216,4.44849109649658,37.1619338989258,2,3.16871404647827,40.328987121582,1.87871253490448,36.3268280029297,1.34092473983765,0,0.5,1102.06005859375,1.31037068367004,728,0,0,0,0.0897791907191277,4,0,1378.61010742188,0,0,0,2126.85888671875,5.24792766571045,11.6241102218628,0,1,1,4,0,7.07509803771973
InChI%3D1S%2FC11H17N3O4%2Fc1-12-10-3-2-9%288-11%2810%2914%2817%2918%2913%284-6-15%295-7-16%2Fh2-3%2C8%2C12%2C15-16H%2C4-7H2%2C1H3,3.6428234577179,101.550003051758,0,0,2.55233263969421,0.969416081905365,26,1.69061100482941,0,1076.61901855469,1,0,1270.50952148438,1.00296807289124,0,0.360325306653976,0.506050169467926,0,0.287457466125488,0.99135160446167,2.39111232757568,1,0.284815698862076,0.0666599869728088,0,3.65876579284668,0,0,4.87816905975342,1,0,0,0.85537314414978,0,0.0240562614053488,1.1070761680603,0,0.0335447043180466,244,16.0555553436279,0,0,1.09820675849915,0,0,0,0,8.22684288024902,0,0,4.56599283218384,0,0,0,0,0,0.0680413842201233,1,0,0,0,4,6,0,0,0,13.5436058044434,8.63375854492188,2,0.516397774219513,1487.86584472656,0.25,6.98676156997681,22.1778411865234,0.800000011920929,7.36638021469116,1.27478933334351,2,5.45494270324707,0,20.7682266235352,8.0069055557251,0.965489387512207,4.41096067428589,26.4323196411133,3,3.36733889579773,29.7924003601074,2.06219673156738,30.7883968353271,1.32175493240356,0,0.444444447755814,919.070007324219,1.65096366405487,618,0,0,0,0.126679942011833,4,0,954.350341796875,0,0,0,1407.56750488281,5.16992521286011,10.165828704834,0,0,0,3,0,5.56530714035034
InChI%3D1S%2FC12H27O4P%2Fc1-4-7-10-14-17%2813%2C15-11-8-5-2%2916-12-9-6-3%2Fh4-12H2%2C1-3H3,4.42542695999146,54.5699996948242,0,0,2.61653876304626,0.926776707172394,18,1.3947879076004,0.176776692271233,571.311096191406,0,0,609.612976074219,0.883842825889587,0,0.182665541768074,0.607617795467377,0.0186432246118784,0,0,1.43566012382507,0,0.286433756351471,0,1.5,2.03033018112183,0,0,1.88832521438599,0,0,0,0.290619105100632,0,0,0.3820461332798,0,0,236,17,0,0,0.367020457983017,0.300000011920929,0,0,0,11.1111106872559,0,0,9.67901229858398,0,0,3,0,0,0,3,0,0,0,6,6,0,0,1.5,12.9852809906006,8.18198013305664,0,0,601.969177246094,0,6.1819806098938,25.7482891082764,1,8.99300861358643,5.55088710784912,1,4.15165042877197,0,26.7372817993164,0,0,2.78033018112183,28.3796081542969,0,1.81066012382507,26.721622467041,1.46783006191254,26.721622467041,0.640165030956268,0,0.5,1577.05004882812,0,616,0,0,0,0,9,0,580.131408691406,0,0,0,599.830810546875,5.08746290206909,11.6681098937988,0,0,0,0,0,7.08333921432495
InChI%3D1S%2FC2H5N%2Fc1-2-3-1%2Fh3H%2C1-2H2,0.75,21.9400005340576,0,0,0,0,0,0,0,61.0619506835938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.33333337306976,0,0,0,0,0.353553384542465,0,0,0.222222223877907,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.12132024765015,1.5,0,0,0,0,1.06066012382507,3.35998797416687,0,1,0,0,0,0,3.33237051963806,0,0,0,0,0,0,0,0,0,0,0,0,58.0099983215332,0,3,0,0,0,0,1,0.25,61.0993919372559,0,0,0,0,2.58496260643005,1.91421353816986,0,0,0,0,0,1.20710682868958
