SMILES,SCH-4,ATSm3,C1SP3,SCH-5,ATSm4,SCH-6,Zagreb,ATSm5,VP-0,topoShape,VP-1,ATSc1,MDEO-11,SCH-7,VP-2,PetitjeanNumber,ATSc2,Kier1,MDEO-12,MDEN-22,VP-3,ATSc3,Kier2,SP-0,C2SP2,MDEN-23,ATSp1,MDEC-22,VP-4,ATSc4,Kier3,SP-1,C2SP3,ATSp2,MDEC-23,MDEC-44,VP-5,ATSc5,SP-2,MDEC-24,VP-6,SP-3,WPATH,TopoPSA,ATSp3,SP-4,ATSp4,SPC-4,VP-7,SP-5,ATSp5,VC-3,SPC-5,VCH-3,VC-4,SPC-6,SP-6,VC-5,WPOL,SP-7,VCH-4,VC-6,SC-3,VPC-4,MDEO-22,MDEN-11,MDEN-33,MDEC-11,MDEN-12,ECCEN,C3SP2,SC-4,VAdjMat,VCH-5,VPC-5,MDEC-33,MDEC-12,MDEN-13,fragC,C3SP3,SC-5,VCH-6,VPC-6,MDEC-34,MDEC-13,SC-6,VCH-7,MDEC-14,ATSm1,C1SP2,ATSm2,SCH-3
InChI%3D1S%2FC24H38O4%2Fc1-5-9-13-19%287-3%2917-27-23%2825%2921-15-11-12-16-22%2821%2924%2826%2928-18-20%288-4%2914-10-6-2%2Fh11-12%2C15-16%2C19-20H%2C5-10%2C13-14%2C17-18H2%2C1-4H3,0.0,37.5414886475,6.0,0.0,42.6492881775,0.0833333358,124.0,43.9776573181,18.1681632996,0.8888888955,10.9991140366,0.5361791849,0.200000003,0.0962250456,7.5755114555,0.470588237,-0.325496316,26.0357151031,1.2649110556,0.0,5.3537039757,0.1762672663,15.7889270782,20.7778110504,0.0,0.0,1593.4860839844,16.3074645996,3.1779103279,-0.0790488273,10.0535392761,13.5656108856,12.0,1729.3239746094,19.6782150269,0.0,2.0733902454,-0.2950065434,10.554438591,0.0,1.0693086386,8.4837274551,2388.0,52.5999984741,2116.2885742188,6.1173510551,2239.4162597656,2.931081295,0.4579617083,4.7345957756,2128.3237304688,0.6359192133,4.2071547508,0.0,0.0,5.5067658424,2.9468848705,0.0448895954,38.0,1.708619833,0.0,0.0,1.1518183947,1.3689814806,0.200000003,0.0,0.0,0.5445089936,0.0,690.0,0.0,0.0,5.8073549271,0.0,1.512426734,5.0082883835,8.3085203171,0.0,3600.0400390625,4.0,0.2480056435,0.027777778,1.4292377234,0.0,3.5320818424,0.0,0.027777778,0.0,31.0978755951,2.0,29.9925518036,0.0
InChI%3D1S%2FC2H8N2%2Fc1-3-4-2%2Fh3-4H%2C1-2H3,0.0,2.3323705196,0.0,0.0,1.0,0.0,10.0,0.0,3.0,0.5,1.25,0.0673389584,0.0,0.0,0.5,0.3333333433,-0.0168347396,4.0,0.0,1.0,0.25,-0.0336694792,3.0,3.4142136574,0.0,0.0,96.5375137329,0.0,0.0,0.0168347396,4.0,1.9142135382,0.0,75.2305450439,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,10.0,24.0599994659,47.8227005005,0.0,20.8609142303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333433,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,109.0199966431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7199759483,0.0,3.6923584938,0.0
InChI%3D1S%2FC6H12N2O%2Fc9-7-8-5-3-1-2-4-6-8%2Fh1-6H2,0.0,11.2182073593,2.0,0.0,12.3289251328,0.0,38.0,4.9965543747,5.5453162193,0.6666666865,3.5150296688,0.058386106,0.0,0.0,2.44952631,0.400000006,-0.0322696194,7.1111111641,0.0,0.0,1.6979255676,0.0290289689,3.9200000763,6.527097702,0.0,1.0,392.8644104004,8.2548179626,1.1356414557,-0.0205108151,2.3801653385,4.4318518639,4.0,410.6198425293,0.0,0.0,0.7570766807,-0.0050232075,3.265837431,0.0,0.5028473735,2.5520951748,88.0,32.6699981689,453.7360534668,1.7721647024,475.2364501953,0.4927992821,0.07886751,1.2301716805,118.2124938965,0.1000000015,0.5948613286,0.0,0.0,0.4927992821,0.8536431789,0.0,11.0,0.246399641,0.0,0.0,0.2041241527,0.1822461784,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,4.1699252129,0.0,0.2077350318,0.0,0.0,0.0,369.0299987793,0.0,0.0,0.0,0.1822461784,0.0,0.0,0.0,0.0,0.0,10.4944448471,0.0,10.2458248138,0.0
InChI%3D1S%2FC19H30O5%2Fc1-3-5-7-20-8-9-21-10-11-22-14-17-13-19-18%2823-15-24-19%2912-16%2817%296-4-2%2Fh12-13H%2C3-11%2C14-15H2%2C1-2H3,0.0,34.0953903198,8.0,0.1178511307,32.8735809326,0.2222222239,110.0,30.9851036072,14.9741163254,1.0,8.9936704636,0.8761282563,0.0,0.3122854531,5.8550639153,0.5,-0.5283897519,20.3136005402,0.0,0.0,3.8579616547,-0.088607423,12.368888855,17.037322998,0.0,0.0,1229.5949707031,14.9108333588,2.5309453011,0.3687128127,7.4243974686,11.8468666077,8.0,1352.0209960938,11.9529457092,0.0,1.640001297,-0.2620586455,9.2019577026,0.0,0.9746677876,7.2820954323,1767.0,46.1500015259,1695.0854492188,5.8687338829,1634.9926757813,1.7991137505,0.5744309425,4.378672123,1428.6417236328,0.321975261,2.9509010315,0.0,0.0,3.8875977993,3.1744322777,0.055555556,29.0,2.2910938263,0.0,0.0,0.6666666865,0.7364990115,1.7830144167,0.0,0.0,0.0625,0.0,644.0,0.0,0.0,5.584962368,0.0294627827,1.0230457783,3.3019273281,3.9379508495,0.0,2473.0500488281,2.0,0.1666666716,0.0548540242,1.182113409,0.0,1.0450431108,0.0,0.0733043998,0.0,27.8723449707,0.0,28.3209190369,0.0
InChI%3D1S%2FC10H9Cl7%2Fc1-4-6%282%2C3%298%2813%295%2811%297%284%2C12%299%2814%2C15%2910%288%2C16%2917%2Fh5H%2C1H2%2C2-3H3,0.0,82.6533050537,2.0,0.0777510554,173.9209747314,0.6011751294,108.0,128.642578125,14.2217111588,0.6666666865,7.4872374535,0.3462116122,0.0,2.2908651829,9.3219432831,0.400000006,-0.0114130769,13.4320983887,0.0,0.0,9.7920207977,-0.1655722558,2.7777776718,13.6547002792,0.0,0.0,2390.5275878906,0.0,6.6742506027,-0.1794452071,0.871111095,7.3094010353,3.0,3153.4077148438,0.0,6.3353829384,4.2209939957,0.1845800132,8.9001054764,0.0,2.2137210369,9.2936420441,376.0,0.0,5710.5244140625,6.4837861061,5907.18359375,12.2385129929,0.7720605135,4.195912838,2676.7604980469,3.9371774197,21.0043907166,0.0,0.6100919843,35.2167282104,2.2281646729,4.80915308,48.0,0.8011350632,0.0,2.1775403023,3.6405444145,13.6429405212,0.0,0.0,0.0,1.1447142363,0.0,140.0,1.0,0.5498396754,5.0874629021,0.0721687824,23.1522674561,0.5,0.0,0.0,457.0700073242,2.0,4.0263080597,0.5946366191,39.0488357544,6.3353829384,2.7494592667,1.7120190859,2.3911540508,6.0891418457,70.9892730713,1.0,31.6621608734,0.0
InChI%3D1S%2FH2O4S%2Fc1-5%282%2C3%294%2Fh%28H2%2C1%2C2%2C3%2C4%29,0.0,10.6468143463,0.0,0.0,0.0,0.0,20.0,0.0,2.5780336857,1.0,1.4835590124,0.2694265544,3.0,0.0,0.9511879086,0.5,-0.2074908465,5.0,0.0,0.0,0.0,0.0727775693,1.0,4.5,0.0,0.0,148.3171844482,0.0,0.0,0.0,,2.0,0.0,129.1341094971,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,82.9800033569,165.5265197754,0.0,0.0,0.0,0.0,0.0,0.0,0.2708595991,0.0,0.0,0.028903665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.5,3.3219280243,0.0,0.0,0.0,0.0,0.0,16.0499992371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2256288528,0.0,14.2255973816,0.0
InChI%3D1S%2FC14H7Br2NO2%2Fc15-8-5-9%2816%2912%2817%2911-10%288%2913%2818%296-3-1-2-4-7%286%2914%2811%2919%2Fh1-5H%2C17H2,0.0,56.2714385986,0.0,0.0,76.1769180298,0.1657312959,106.0,118.7563858032,12.7085199356,1.0,7.0655851364,0.3361822963,0.200000003,0.4539051354,5.9163937569,0.5,-0.0354607627,13.9591836929,0.0,0.0,4.4208607674,-0.0117851291,5.080078125,13.7316865921,2.0,0.0,1727.1519775391,3.8198368549,3.5825545788,-0.1156917065,2.0860118866,9.019744873,8.0,2103.4675292969,14.0497217178,0.0,2.2868266106,-0.1759275496,8.5344867706,0.0,1.4297157526,7.7895665169,592.0,60.1599998474,3153.3657226563,6.8302426338,3470.5986328125,4.3491005898,0.7766805887,5.6659932137,2836.1240234375,1.0105150938,7.6999464035,0.0,0.0,12.75440979,3.6504709721,0.2621788681,38.0,2.5384423733,0.0,0.0,1.5431425571,2.1745648384,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,5.2479276657,0.0,3.440918684,17.2629127502,0.0,0.0,442.049987793,4.0,0.6568276882,0.0614449754,4.7415628433,0.0,0.0,0.0,0.1735299379,0.0,107.4251098633,0.0,33.1357192993,0.0
InChI%3D1S%2FC7H5Cl2NO2%2Fc8-3-1-4%287%2811%2912%296%289%295%2810%292-3%2Fh1-2H%2C10H2%2C%28H%2C11%2C12%29,0.0,26.5779724121,0.0,0.0,30.8616981506,0.055555556,58.0,28.8221950531,7.3552994728,0.6666666865,3.7550001144,0.3138681054,0.5,0.1987416744,2.9761116505,0.400000006,-0.0955173075,10.0833330154,0.0,0.0,1.9359744787,0.0230470113,3.8062283993,9.3009653091,0.0,0.0,724.3618774414,0.5,1.1825541258,-0.0850304142,2.25,5.5197443962,5.0,820.5353393555,5.6762399673,0.0,0.7380506396,-0.127967447,5.320848465,0.0,0.2287460864,3.877907753,184.0,63.3199996948,1097.3168945313,2.9260921478,998.4003295898,2.4104633331,0.0710627139,2.0747654438,603.5846557617,0.5318645835,3.3929140568,0.0,0.0,4.8904051781,0.7788001895,0.101337567,17.0,0.4177635908,0.0,0.0,1.1862435341,0.9480823874,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.584962368,0.0,1.0911666155,5.4506917,0.0,0.0,157.0500030518,1.0,0.3507329524,0.020833334,1.3230996132,0.0,0.0,0.0,0.0696903542,0.0,29.3344326019,1.0,16.7338447571,0.0
InChI%3D1S%2FC3H4O2%2Fc4-3-1-2-5-3%2Fh1-2H2,0.2041241527,5.4386529922,1.0,0.2041241527,1.3320919275,0.0,22.0,0.0,2.7307100296,0.5,1.5504767895,0.2791802585,0.0,0.0,0.97047019,0.3333333433,-0.1472356319,3.2000000477,0.5,0.0,0.5692359209,0.050748568,1.0,3.6986706257,0.0,0.0,102.4252090454,1.0,0.0833333358,-0.0431030579,0.4444444478,2.3938467503,1.0,106.7211303711,1.4142135382,0.0,0.0,0.0,2.0360753536,0.0,0.0,1.3938468695,16.0,26.2999992371,77.1804733276,0.4082483053,15.5250473022,0.4082483053,0.0,0.0,0.0,0.0589255653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1020620763,0.0,0.2886751294,0.0833333358,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,3.3219280243,0.0416666679,0.0,0.0,0.0,0.0,61.0200004578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5489382744,1.0,5.9962759018,0.0
InChI%3D1S%2FCH3NO2%2Fc1-2%283%294%2Fh1H3,0.0,4.4386529922,0.0,0.0,0.0,0.0,12.0,0.0,2.2637102604,1.0,0.8123619556,0.0876120478,0.5,0.0,0.4396839738,0.5,-0.0013504021,4.0,0.0,0.0,0.0,-0.0424556248,1.3333333731,3.577350378,0.0,0.0,39.6477241516,0.0,0.0,0.0,,1.7320507765,0.0,31.6298027039,0.0,0.0,0.0,0.0,1.7320507765,0.0,0.0,0.0,9.0,45.8199996948,25.3519535065,0.0,0.0,0.0,0.0,0.0,0.0,0.0745356008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502588,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0300006866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9089260101,0.0,4.2731170654,0.0
