SMILES,ATSm4,VC-6,WPOL,SP-7,MDEC-13,MDEC-34,topoShape,ATSm5,SC-3,MDEC-14,VPC-4,SC-4,ATSc1,VPC-5,SC-5,ATSc2,ATSp1,VPC-6,SC-6,Kier1,fragC,ATSc3,Kier2,ATSc4,Kier3,ATSc5,MDEO-11,ATSp2,SCH-3,C1SP2,WPATH,MDEO-12,ATSp3,VP-0,MDEN-22,C1SP3,C2SP2,ATSp4,TopoPSA,MDEN-23,MDEC-22,SPC-4,SCH-4,C2SP3,ATSp5,VP-1,MDEC-23,SPC-5,SCH-5,MDEC-44,VP-2,MDEC-24,SPC-6,SCH-6,VP-3,VCH-3,SP-0,VP-4,SCH-7,Zagreb,SP-1,VP-5,PetitjeanNumber,VCH-4,ECCEN,VCH-5,C3SP2,SP-2,VP-6,VCH-6,VAdjMat,C3SP3,SP-3,VP-7,MDEN-11,VC-3,MDEO-22,VCH-7,SP-4,ATSm1,MDEC-11,SP-5,MDEN-33,MDEN-12,VC-4,ATSm2,MDEC-33,MDEC-12,SP-6,MDEN-13,VC-5,ATSm3
InChI%3D1S%2FC19H27NO7%2Fc1-11-9-19%2812%282%2927-19%2917%2823%2926-14-6-8-20%284%297-5-13%2815%2814%2921%2910-25-16%2822%2918%2811%2C3%2924%2Fh5%2C11-12%2C14%2C24H%2C6-10H2%2C1-4H3,62.8465538025,0.0633462816,52.0,2.8616015911,6.3891153336,5.249153614,0.6666666865,60.2984199524,3.0660161972,2.4380357265,3.1750831604,0.25,1.0559167862,3.2112834454,1.4241650105,-0.4846933782,1818.7043457031,3.6485991478,0.2946278155,21.7027339935,2434.080078125,-0.1287494451,8.0246915817,0.2495256811,4.3022122383,-0.158426404,1.0991398096,2156.9255371094,0.2041241527,2.0,1588.0,2.9236314297,2943.7268066406,16.1888523102,0.0,6.0,2.0,3462.8581542969,105.6699981689,0.0,4.487850666,7.567158699,0.4663128555,4.0,3465.8195800781,9.2793531418,12.1310176849,9.0913820267,0.2621887028,0.3333333433,8.0168781281,2.7354178429,11.4861421585,0.4576303065,5.8358392715,0.1178511307,19.9827632904,3.4028201103,0.7057844996,148.0,12.5750589371,2.3531427383,0.400000006,0.2601100206,454.0,0.1422588974,1.0,12.5191698074,1.4930340052,0.182282716,5.7548875809,3.0,10.6857433319,0.8787784576,0.0,1.6395162344,0.6694329381,0.2472899854,7.0704460144,32.7812728882,0.9283177853,5.4011445045,0.0,0.0,0.106216386,32.8194770813,6.5189266205,4.663807869,4.1686577797,0.0,0.4140338302,48.8626899719
InChI%3D1S%2FC8H5N3O4S%2Fc12-4-9-8-10-5%283-16-8%296-1-2-7%2815-6%2911%2813%2914%2Fh1-4H%2C%28H%2C9%2C10%2C12%29,26.7674541473,0.0,19.0,1.2860394716,0.0,0.0,1.0,27.6612510681,1.0374574661,0.0,0.638012588,0.0,0.50411731,0.8312321901,0.25,-0.3263860941,883.1608276367,0.7104145288,0.0,12.4567470551,244.0800018311,0.0941291824,5.5576558113,0.0156517234,3.0297265053,-0.0442486554,0.5129927993,1021.5234985352,0.0,0.0,473.0,0.7539474368,1378.6884765625,8.547744751,0.5,2.0,0.0,1044.9840087891,132.6799926758,0.3380616903,1.6881181002,2.3248970509,0.0,4.0,950.6278686523,4.9530596733,6.4318737984,3.0784492493,0.2357022613,0.0,3.4914362431,0.0,3.4332103729,0.2874574661,2.4330687523,0.0,11.5436058044,1.6945409775,0.4748546481,80.0,7.7027087212,0.873986423,0.5,0.0,251.0,0.1130776331,0.0,6.8050613403,0.5273506641,0.1071086675,5.0,0.0,5.4019346237,0.2790898085,0.0,0.3359222114,0.0,0.1145073324,4.298596859,26.3055934906,0.0,2.8039402962,0.0,0.0,0.0,23.2737045288,2.5250647068,0.0,2.1704280376,0.0,0.02399862,33.2971191406
InChI%3D1S%2FC14H18ClNO4S%2Fc1-9-5-10%282%298-16%287-9%2921%2819%2C20%2911-3-4-13%2815%2912%286-11%2914%2817%2918%2Fh3-4%2C6%2C9-10H%2C5%2C7-8H2%2C1-2H3%2C%28H%2C17%2C18%29,52.3503837585,0.0269294009,35.0,1.6285755634,2.7623987198,0.0,0.8000000119,52.4821090698,2.4818272591,0.0,2.531840086,0.1666666716,0.440907985,3.6818966866,0.8543162942,-0.2192347795,1739.9721679688,4.6201915741,0.1666666716,17.3553714752,1180.0699462891,0.1418899149,6.6299357414,-0.0976778418,3.8548483849,0.0036543254,1.4422495365,2047.2770996094,0.0,1.0,888.0,0.0,2948.6616210938,13.128247261,0.0,4.0,0.0,3016.9431152344,83.0599975586,0.0,4.4685826302,5.0026602745,0.0,6.0,2547.8464355469,7.9321913719,11.99497509,7.1265892982,0.0,0.0,7.2111682892,0.0,9.7546682358,0.1360827684,4.9980621338,0.0,15.7840929031,3.9371609688,0.3114492297,110.0,9.7132511139,2.6990475655,0.4444444478,0.0,311.0,0.0,0.0,9.8308725357,1.7405517101,0.0767608881,5.3923172951,3.0,7.3972687721,0.9067934155,0.0,1.4924376011,0.0,0.211274758,5.8496146202,38.2983703613,0.25,4.412961483,0.0,0.0,0.0323152803,33.8443412781,4.3942165375,3.0078845024,2.9584925175,0.0,0.2487499714,48.065410614
InChI%3D1S%2FC2H5ClO%2Fc1-4-2-3%2Fh2H2%2C1H3,2.9517374039,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2315032035,0.0,0.0,-0.1834512651,94.6600875854,0.0,0.0,4.0,52.0200004578,0.0894276947,3.0,-0.0217280369,4.0,0.0,0.0,74.3696670532,0.0,0.0,10.0,0.0,46.1764297485,3.2492485046,0.0,0.0,0.0,19.0570583344,9.2299995422,0.0,0.0,0.0,0.0,0.0,0.0,1.4987071753,0.0,0.0,0.0,0.0,0.6160019636,0.0,0.0,0.0,0.3273268342,0.0,3.4142136574,0.0,0.0,10.0,1.9142135382,0.0,0.3333333433,0.0,14.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.4872226715,0.0,0.0,0.0,0.0,0.0,5.6159214973,0.0,0.5,0.0,0.0,0.0,4.9319858551
InChI%3D1S%2FC6H12N2O3%2Fc1-2-3-8%287-11%294-6%2810%295-9%2Fh2%2C6%2C9-10H%2C1%2C3-5H2,13.988951683,0.0,11.0,0.0833333358,0.200000003,0.0,0.75,12.4355783463,0.4927992821,0.0,0.2717649341,0.0,0.2540338635,0.2804079354,0.0,-0.0641052127,406.1885070801,0.2063522488,0.0,11.0,374.049987793,-0.076581344,6.6942148209,0.0156038934,5.2892560959,0.001436923,0.6694329381,411.59375,0.0,1.0,176.0,0.0,443.177154541,6.1802301407,0.0,3.0,1.0,398.604095459,73.1299972534,1.0,2.4068520069,0.9216546416,0.0,1.0,326.5283203125,3.2224495411,2.1491398811,1.0934129953,0.0,0.0,2.0783202648,0.0,1.1746675968,0.0,1.0875658989,0.0,8.6902341843,0.5912314057,0.0,42.0,5.2399120331,0.2674348652,0.4285714328,0.0,105.0,0.0,0.0,3.812071085,0.0949491784,0.0,4.4594316483,0.0,2.7068994045,0.0166666675,0.0,0.2290994376,0.0,0.0,1.6325924397,14.0433835983,0.0,1.0433797836,0.0,0.0,0.0,11.9100084305,0.0,1.5196713209,0.402368933,0.0,0.0,13.2144832611
InChI%3D1S%2FC4H7Cl%2Fc1-4%282%293-5%2Fh3H%2C1-2H3,5.9034748077,0.0,2.0,0.0,2.0,0.0,0.5,0.0,0.4082483053,0.0,0.3273268342,0.0,0.0280767232,0.0,0.0,-0.0164020527,202.2141418457,0.0,0.0,5.0,101.0100021362,0.0094709741,2.25,-0.0071072821,4.0,0.0,0.0,177.264175415,0.0,1.0,18.0,0.0,156.3620605469,4.2112436295,0.0,2.0,0.0,62.8338699341,0.0,0.0,0.0,0.4082483053,0.0,0.0,0.0,1.9433288574,1.0,0.0,0.0,0.0,1.4046771526,0.0,0.0,0.0,0.6546536684,0.0,4.2844572067,0.0,0.0,16.0,2.2700555325,0.0,0.3333333433,0.0,19.0,0.0,1.0,1.8020951748,0.0,0.0,3.3219280243,0.0,0.8164966106,0.0,0.0,0.2886751294,0.0,0.0,0.0,12.7127532959,0.5,0.0,0.0,0.0,0.0,5.9517374039,0.0,1.0,0.0,0.0,0.0,5.9517374039
InChI%3D1S%2FC12H10N2O%2Fc15-13-14%2811-7-3-1-4-8-11%2912-9-5-2-6-10-12%2Fh1-10H,21.9936656952,0.0,20.0,1.0827827454,0.0,0.0,1.0,20.3254795074,0.4694161117,0.0,0.4492173195,0.0,0.0536609963,0.6058741808,0.1360827684,-0.0259233788,844.4183959961,0.6350855827,0.0,11.484375,466.0299987793,0.0211962685,5.9149999619,-0.0140678445,2.9822485447,-0.007485955,0.0,954.6594238281,0.0,0.0,364.0,0.0,1222.1290283203,8.0761785507,0.0,0.0,0.0,1162.1652832031,32.6699981689,1.0,13.9952611923,1.420539856,0.0,12.0,921.9107055664,4.651154995,8.0793905258,2.5425977707,0.0,0.0,3.0645513535,0.0,3.2288517952,0.2041241527,2.0831758976,0.0,10.510225296,1.3817448616,0.1178511307,72.0,7.4150147438,0.8738930225,0.5,0.0,194.0,0.0,0.0,5.8682832718,0.3320105374,0.0641500279,4.9068903923,0.0,4.9820618629,0.1872482151,0.0,0.1990711987,0.0,0.0286887661,4.1762051582,16.4944458008,0.0,3.179312706,0.0,0.0,0.0,17.2458248138,0.5,0.0,1.5745382309,0.0,0.0333333351,21.5505771637
InChI%3D1S%2FC16H14N4O3S%2Fc21-20%2822%2914-6-5-13%2824-14%2915-17-12-4-2-1-3-11%2812%2916%2818-15%2919-7-9-23-10-8-19%2Fh1-6H%2C7-10H2,50.883972168,0.0,38.0,3.4311714172,0.0,0.0,0.8333333135,43.5204277039,1.4388321638,0.0,1.5881097317,0.0,0.4915641844,2.0713424683,0.4416383207,-0.2670401037,1802.4521484375,2.3333294392,0.0,17.41563797,1129.0799560547,-0.0642090067,7.7091412544,0.1607969254,3.7588758469,-0.150938347,0.5,2171.3435058594,0.0,0.0,1290.0,0.1818181872,3101.1228027344,13.5308732986,0.5,7.0,0.0,3071.4396972656,112.3099975586,1.0636591911,10.9576883316,3.6839532852,0.0,8.0,2867.5349121094,8.3793735504,16.6691360474,5.6447105408,0.1178511307,0.0,6.4446105957,0.0,8.1916399002,0.3770337105,4.91873312,0.0,16.5182971954,3.4868237972,0.580272615,130.0,11.7203464508,2.3037190437,0.4545454681,0.0,454.0,0.1020620763,0.0,10.5790491104,1.3374661207,0.1825959086,5.584962368,1.0,9.0767803192,0.8420581222,0.0,0.7206802964,0.0,0.1811403036,7.677749157,33.8911132813,0.0,6.4185018539,0.1428571492,0.0,0.0,33.4401702881,6.0725932121,0.0,4.6025462151,0.0,0.1197753102,49.4412994385
InChI%3D1S%2FC4H9N3O3%2Fc5-4%289%297%286-10%292-1-3-8%2Fh8H%2C1-3H2%2C%28H2%2C5%2C9%29,12.7403774261,0.0,10.0,0.0,0.0,0.0,1.0,10.8779554367,0.5,0.0,0.2035616487,0.0,0.2438246757,0.1646008492,0.1666666716,-0.1392320544,320.4953308105,0.099047184,0.0,10.0,234.0599975586,0.0976844355,5.7600002289,-0.1110655442,4.4800000191,0.0899481326,0.5723571181,324.0130615234,0.0,0.0,134.0,0.0,347.7277526855,5.3184227943,0.0,2.0,0.0,306.7870483398,96.9800033569,1.0,2.3811016083,1.0892556906,0.0,1.0,209.1337890625,2.7122433186,1.0400419235,1.1725889444,0.0,0.0,1.6055586338,0.0,0.7357022762,0.0,0.8710799813,0.0,7.983127594,0.4058746696,0.0,38.0,4.7187438011,0.1707294434,0.5,0.0,85.0,0.0,0.0,3.5545732975,0.046399001,0.0,4.3219280243,0.0,2.3956546783,0.0,0.0,0.1207106784,0.0,0.0,1.4751747847,13.4033708572,0.0,0.6422285438,0.0,0.3333333433,0.0,11.0761938095,0.0,0.0,0.3800398409,0.5,0.0158113874,12.8510341644
InChI%3D1S%2FC7H6N6O3%2Fc8-6-10-5%2811-7%289%2912-6%293-1-2-4%2816-3%2913%2814%2915%2Fh1-2H%2C%28H4%2C8%2C9%2C10%2C11%2C12%29,26.1480922699,0.0,21.0,1.1888262033,0.0,0.0,1.0,23.4019985199,1.4106836319,0.0,0.5558583736,0.0,0.4643048942,0.6795961261,0.25,-0.300445646,792.0836181641,0.6546296477,0.0,12.4567470551,385.0899963379,0.0971638188,5.1041665077,0.1159015447,3.0297265053,-0.2671964169,0.5,919.3829956055,0.0,0.0,443.0,0.6666666865,1258.0682373047,7.9040093422,1.5,2.0,0.0,1075.8973388672,,0.536342144,1.0,2.5634114742,0.0,3.0,895.1839599609,4.273712635,3.9973564148,3.6863601208,0.1178511307,0.0,3.0297996998,0.0,4.5530028343,0.2041241527,1.9044098854,0.0,11.7067422867,1.259672761,0.4469580054,82.0,7.5585508347,0.7095175982,0.5,0.0,212.0,0.0340206921,0.0,7.2547588348,0.3733029366,0.0528985672,5.0,0.0,5.3381972313,0.1679279506,0.25,0.3551825881,0.0,0.0679118559,4.4804878235,20.483335495,0.0,3.0615518093,0.0,2.3811016083,0.0,20.2667827606,3.9505505562,0.0,2.2349915504,0.2857142985,0.0257944502,30.0068664551
