STRUCTURE_SMILES,LOGINV_TD50_mmol
NC1=CC=C(CCCCCCCCCC)C=C1,3.57511836336893
C=CC=O,3.51855737149769
CCCCCCCCCCCCCN,3.48412615628832
Cl\C(Cl)=C(Cl)/C(Cl)=C(Cl)\Cl,3.46218090492673
[H][C@]1(CC2)C(C)(C)CCC[C@@](C)1[C@@H](CC[C@@](O)(C)C=C)C2=C,3.3840499483436
C1=CC=CC=C1SSC2=CC=CC=C2,3.29756946355447
CCCCCCCCCCCCN,3.25492520841794
NC1=CC=C(CCCCCCCC)C=C1,3.2335871528876
CCCCCCCCCC1=CC=C(O)C=C1,3.19722627470802
C1=CC=C2C(=C1)C(=O)C(C)=CC2=O,3.1944991418416
ClC1=CC=C(SCSP(=S)(OCC)OCC)C=C1,3.15490195998574
ClC1=C([N+]([O-])=O)C(Cl)=C([N+]([O-])=O)C(Cl)=C1,3.08724669632868
S=P(OC1=NC(=C(C=C1Cl)Cl)Cl)(OCC)OCC,3.0423927129399
N1=C(C2=CC=CC=C2)C=CC=C1C3=CC=CC=C3,3.04191415147891
OC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,3.04000516167158
BrC(Br)C1=C(C(Br)Br)C=CC=C1,2.98296666070122
O=C2N5[C@@]3([H])[C@@]1([H])[C@](C[C@]4([H])N(C7)CC[C@]34C6=C5C=CC=C6)([H])C7=CCO[C@]([H])1C2.O=C9N%12[C@@]%10([H])[C@@]8([H])[C@](C[C@]%11([H])N(C%14)CC[C@]%10%11C%13=C%12C=CC=C%13)([H])C%14=CCO[C@]([H])8C9.O=S(O)(O)=O,2.95467702121334
C1=C(C=O)C=CC=C1OC2=CC(Cl)=C(Cl)C=C2,2.95078197732982
OC1=CC=C(Cl)C=C1CC2=CC(Cl)=CC=C2O,2.93930215964639
NC1=C(Cl)C(Cl)=CC(Cl)=C1Cl,2.93181413825384
CCCCCCCCCCCN,2.9100948885606
C1=CC(C(C)(C)C)=CC=C1OC2=CC=CC(C=O)=C2,2.83863199776503
C=C(CCl)C(Cl),2.81815641205523
OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C,2.78251605578609
OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl,2.77728352885242
CCCCCCCCOC1=CC=CC=C1NC(=O)C,2.76700388960785
OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1,2.75202673363819
CCCCCCCCCCCC(=O)C,2.74232142513082
N1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,2.7281583934635
ClCC1=CC(C=C)=CC=C1,2.69250396208679
C(CC(CC1CC23)C2)(C1)C3,2.68613277963085
C=CCCCCCCC=C,2.67778070526608
CCCCOC(=O)C1=CC=C(C(=O)OCCCC)C=C1,2.67366413907125
Cl\C=C\CCl,2.66756154008439
OC1=C(C=C(C=C1C(CC)C)[N+](=O)[O-])[N+](=O)[O-],2.65169513695184
CCCCCCCCCCCC#N,2.6252516539899
C1=C(C(=O)CBr)C(OC)=CC=C1OC,2.59345981956604
OC1=C(I)C=C(I)C=C1I,2.59176003468815
C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,2.57511836336893
CCCCOC(=O)C=CC(=O)OCCCC,2.55909091793478
O=[C@](O)[C@@]3(C)[C@@]1([H])[C@@](CCC3)(C)[C@]2([H])C(C[C@](C=C)(C)CC2)=CC1,2.54060751224077
BrC1=C(O)C(C=O)=CC(Br)=C1,2.51712641639125
CC(C)(C)C1=CC=C(C=C)C=C1,2.51427857351842
CCCCOC(=O)C1=CC=CC(C(=O)OCCCC)=C1,2.4907974776689
C#CC(O)CCCCC,2.48545224733971
C1=CC=C(C(=O)OCCCC)C(=C1)C(=O)OCCCC,2.44490555142168
ClC1=C(O)C(Cl)=CC(=C1)C(C2=CC(Cl)=C(O)C(=C2)Cl)(C)C,2.44009337496389
O=C(NC)OC1=CC=CC(C2)=C1OC2(C)C,2.41907502432438
CCCCCCNCCCCCC,2.37571790416433
ClC(Cl)C1=C(Cl)C=CC=C1Cl,2.37468754903833
[O-][N+](=O)C1=CC=C([N+]([O-])=O)C=C1,2.37468754903833
BrCCCCCCCC,2.36251027048749
OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl,2.35261702988538
CC(C=NOC(=O)NC)(SC)C,2.34486156518862
CCOC(=O)C(Cl)C(=O)OCC,2.31158017799729
C1(C=O)=C(O)C=CC(Cl)=C1,2.30803489723264
O=[C@](O)[C@@]1(C)[C@]([C@]([C@]([H])2CC3)(C)CCC1)([H])CCC2=C\C3=C(C)/C,2.30715308072277
