SMILES,LOAEL_mol/kg_bw/day
'COc1cc(c(C)cc1N=Nc2c(O)ccc3cc(ccc23)S(OH)(=O)=O)S(OH)(=O)=O',-Inf
'O1C(=O)C(O)=C(O)C1C(O)CO',1.76137662853832
'C1(C)=C(C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C(=O)OC)C(C)(C)CCC1',2.95101092705237
'c(cccc1)(c1)C(C)C',2.41523206875268
'O=C(OCCCC)c(c(ccc1)C(=O)OCCCC)c1',2.66642980233607
'O=C(OCC)c(c(ccc1)C(=O)OCC)c1',1.69992305435084
'O=C(OC(OC(OC1C)C)C1)C',3.14412407646651
'Oc(c(ccc1)C)c1C',4.30879341594785
'Oc(ccc(c1C)C)c1',3.94081663065326
'O=C(OCC)C=C',2.60605102798022
'c(cccc1)(c1)CC',2.41532120099855
'OCCO',2.39492662325430
'c(ccc1C(=O)OCC(=O)OCC)cc1C(=O)OCC',2.04964162538818
'O=C',2.56368333860036
'O=C(O)C=CC(=O)O',2.03090237239810
'OCC(O)CO',1.12645271808123
'O=C(OC)c(ccc(O)c1)c1',2.00617304782278
'O=C(OCCC)c(ccc(O)c1)c1',2.07966468441907
'CC(CCC(=O)(O))C3CCC4C2CCC1CC(O)CCC1(C)C2CCC34C',2.87687871256153
'OC(C(CCC1C)C(C)C)C1',2.42080757876423
'O=C(O)C(=C)C',2.54049719303574
'O=C(OC)c(c(O)ccc1)c1',2.62596180611118
'Oc(cccc1)c1',2.43708305310291
'O=C(OCCC)c(cc(O)c(O)c1O)c1',2.3902301635117
'OCC(O)C1C(O)=C(O)C(=O)O1',2.05436782171583
'c(cccc1)(c1)C=C',3.69543631002744
'O=Cc(occ1)c1',3.20450009536782
'NCCNc1cccc2ccccc12',3.37247609215110
'CN(C)(C)CCCl',2.64921593816204
'O=C(Nc(ccc(c1)C(=O)CCl)c1)C',2.12695072080225
'c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl',4.04444942813338
'CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)(O)',4.491054148917
'O=N(=O)C(=CC=C1OC)C=C1N=NC(C(O)=C2C(=O)NC(=CC=C4)C=C4N(=O)=O)=C(C=C3)C(=C2)C=C3',2.36568501290040
'O=N(=O)C(C=C1)=CC(OCCO)=C1NCCO',3.02438986505162
'Cc1cccc(CC)c1N(C(=O)CCl)COCC',3.73201897895503
'Clc(cc(c1)C(F)(F)F)c(c1)Oc(ccc2N(=O)(=O))cc2C(=O)OH',-Inf
'CCc1cccc(CC)c1N(COC)C(=O)CCl',4.25489772423536
'O=C(Nc(ccc(OCC)c1N)c1)C',2.21459876477238
'Oc(ccc(N)c1)c1',2.20160364320713
'CC(N)CC(=CC=C1)C=C1',4.43202666692597
'O(c(ccc(c1)C=CC)c1)C',2.63429468422019
'COc1ccc(N)cc1',2.41466474972438
'O=C(O)c(c(N)ccc1)c1',1.69766082403086
'Clc2cccc(c2)c1ccccc1',4.67360340221543
'O=C(NC(C(=O)OC)Cc(cccc1)c1)C(N)CC(=O)O',3.30147753146833
'n1c2ccc(Cl)cc2ncc1Oc3ccc(OC(C)C(=O)OCC)cc3',5.00327683569969
'COC(=O)NS(=O)(=O)c1ccc(N)cc1',3.10691015775373
'S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O)',5.94520088604013
'CNC(=O)Oc1ccccc1OC(C)C',3.62167823549204
'CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2',4.07003600375764
'O=S(O)(=O)C(=CC=C1)C=C1CN(CC)=C(C=C2)C=CC2=C(C(C=C3)=CC=C3N(C)C)C(C=C4)=CC=C4N(CC)CC(C=C5)=CC(=C5)S(=O)(=O)O',2.99569446127058
'c(c(cccc1)c1)(cccc2)c2',2.79016633269067
'BrC(Cl)Cl',3.10044647372987
'ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2(=O)',4.46372003271591
'O=C(Oc(c(c(ccc1)cc2)c1)c2)NC',4.11054922260167
'CC1=C(SCCO1)C(=O)Nc2ccccc2',3.89450458533419
'ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl',6.18118555259066
'O=C(O)CCl',3.49829685836143
'ClC(=CC=C1N)C=C1',4.32760254782945
'CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2',4.57623015760927
'n1c(OC)nc(C)nc1NC(=O)NS(=O)(=O)c2ccccc2Cl',4.15566728690676
'OS(=O)(=O)C(C(=CC=C2)C1=C2)=CC=C1N=NC(C(O)=C3N=NC(C(C=C5)=C4C=C5)=CC=C4S(O)(=O)=O)=CC(=C3O)CO',2.91745349144784
'S=P(OCC)(OCC)Oc1ccc2C(C)=C(Cl)C(=O)Oc2c1',5.65653611167129
