SMILES,AMR,XLogP,ALogp2,nAtomLC,nB,nAtom,MLogP,nAtomP,ALogP,nRotB
InChI%3D1S%2FC13H12BrCl2N3O%2Fc14-9-4-13%2820-5-9%2C6-19-8-17-7-18-19%2911-2-1-10%2815%293-12%2811%2916%2Fh1-3%2C7-9H%2C4-6H2,86.92919921875,1.83399999141693,3.26452612876892,0.0,22.0,36.0,2.11999988555908,6.0,1.80680000782013,3.0
InChI%3D1S%2FC12H14N2%2Fc1-13-7-3-11%284-8-13%2912-5-9-14%282%2910-6-12%2Fh3-10H%2C1-2H3,61.7238006591797,-0.225999996066093,1.89447700977325,0.0,15.0,36.0,2.55999994277954,2.0,1.37639999389648,0.0
InChI%3D1S%2FC14H9Cl5O%2Fc15-11-5-1-9%282-6-11%2913%2820%2C14%2817%2C18%2919%2910-3-7-12%2816%298-4-10%2Fh1-8%2C20H,94.7104034423828,3.36500000953674,16.7772159576416,6.0,21.0,29.0,2.33999991416931,6.0,4.09600019454956,3.0
InChI%3D1S%2FC20H22N4O6S%2Fc1-28-12-17%2825%2921-16-11-14%2831-13-7-5-4-6-8-13%299-10-15%2816%2922-18%2823-19%2826%2929-2%2924-20%2827%2930-3%2Fh4-11H%2C12H2%2C1-3H3%2C%28H%2C21%2C25%29%28H2%2C22%2C23%2C24%2C26%2C27%29,124.218597412109,0.966000020503998,2.81803369522095,12.0,32.0,53.0,2.45000004768372,19.0,1.67869997024536,10.0
InChI%3D1S%2FC10H9Cl4NO2S%2Fc11-9%2812%2910%2813%2C14%2918-15-7%2816%295-3-1-2-4-6%285%298%2815%2917%2Fh1-2%2C5-6%2C9H%2C3-4H2,77.7978973388672,2.76999998092651,7.41854190826416,7.0,19.0,27.0,1.67999994754791,5.0,2.72370004653931,3.0
InChI%3D1S%2FC7H12ClN5%2Fc1-3-9-6-11-5%288%2912-7%2813-6%2910-4-2%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,48.8867988586426,1.65799999237061,0.717917263507843,3.0,13.0,27.0,1.57000005245209,7.0,0.847299993038177,2.0
InChI%3D1S%2FC8H6Cl2O3%2Fc9-5-1-2-7%286%2810%293-5%2913-4-8%2811%2912%2Fh1-3H%2C4H2%2C%28H%2C11%2C12%29,53.1162986755371,1.59200000762939,1.20626294612885,5.0,13.0,19.0,1.78999996185303,7.0,1.09829998016357,3.0
InChI%3D1S%2FC15H12F3NO4S%2Fc1-24%2821%2C22%2912-6-9%2815%2816%2C17%2918%294-5-10%2812%2913%2820%2911-7-19-23-14%2811%298-2-3-8%2Fh4-8H%2C2-3H2%2C1H3,82.3193969726562,1.64499998092651,0.27447122335434,4.0,26.0,40.0,2.11999988555908,11.0,0.523899972438812,5.0
InChI%3D1S%2FC16H12ClF4N3O4%2Fc1-2-22%288-10-11%2817%294-3-5-12%2810%2918%2915-13%2823%2825%2926%296-9%2816%2819%2C20%2921%297-14%2815%2924%2827%2928%2Fh3-7H%2C2%2C8H2%2C1H3,36.2949981689453,6.03599977493286,6.79332113265991,4.0,29.0,40.0,1.89999997615814,13.0,2.60640001296997,7.0
InChI%3D1S%2FC10H12O%2Fc1-3-4-9-5-7-10%2811-2%298-6-9%2Fh3-8H%2C1-2H3,52.4303016662598,2.64599990844727,2.61307215690613,3.0,11.0,23.0,2.45000004768372,9.0,1.61650002002716,2.0
InChI%3D1S%2FC24H38O4%2Fc1-5-9-13-19%287-3%2917-27-23%2825%2921-15-11-12-16-22%2821%2924%2826%2928-18-20%288-4%2914-10-6-2%2Fh11-12%2C15-16%2C19-20H%2C5-10%2C13-14%2C17-18H2%2C1-4H3,106.09700012207,7.65399980545044,0.59382438659668,11.0,28.0,66.0,3.66000008583069,12.0,-0.770600020885468,16.0
InChI%3D1S%2FC15H11BrClF3N2O%2Fc1-2-23-8-22-13%289-3-5-10%2817%296-4-9%2911%287-21%2912%2816%2914%2822%2915%2818%2C19%2920%2Fh3-6H%2C2%2C8H2%2C1H3,88.2409973144531,3.32200002670288,12.3868799209595,4.0,24.0,38.0,2.23000001907349,6.0,3.51950001716614,5.0
InChI%3D1S%2FC2H3Cl3O2%2Fc3-2%284%2C5%291%286%297%2Fh1%2C6-7H,29.2457008361816,0.801999986171722,0.809640049934387,7.0,6.0,10.0,1.12999999523163,0.0,0.89980000257492,1.0
InChI%3D1S%2FC14H16ClN5O5S%2Fc1-9-16-12%2819-14%2817-9%2924-2%2918-13%2821%2920-26%2822%2C23%2911-6-4-3-5-10%2811%2925-8-7-15%2Fh3-6H%2C7-8H2%2C1-2H3%2C%28H2%2C16%2C17%2C18%2C19%2C20%2C21%29,96.6485977172852,1.52100002765656,0.00853776000440121,7.0,27.0,46.0,1.67999994754791,17.0,0.092399999499321,7.0
