SMILES,LipinskiFailures,nAtomLAC,nHBDon,nAtom,ALogp2,nAtomP,nAromBond,naAromAtom,ALogP,nAtomLC,nRotB,nB,XLogP,LipinksiFailures,MLogP,AMR
InChI%3D1S%2FC22H25N3O4S%2Fc1-2-29-22%2827%2923-16-7-8-20-18%2815-16%2925%2817-5-3-4-6-19%2817%2930-20%2921%2826%299-10-24-11-13-28-14-12-24%2Fh3-8%2C15H%2C2%2C9-14H2%2C1H3%2C%28H%2C23%2C27%29,0.0,3.0,1.0,55.0,0.532316148281097,19.0,12.0,12.0,0.729600012302399,6.0,7.0,33.0,3.6489999294281,,3.0,67.6804962158203
InChI%3D1S%2FC17H22NOS2.BrH%2Fc1-18%282%2911-13%2810-14%2812-18%2919-3%2917%2815-6-4-8-20-15%2916-7-5-9-21-16%3B%2Fh4-9%2C14H%2C10-12H2%2C1-3H3%3B1H%2Fq%2B1%3B%2Fp-1,0.0,0.0,0.0,44.0,,12.0,10.0,10.0,,2.0,3.0,23.0,3.69099998474121,,2.77999997138977,
InChI%3D1S%2FC7H8O%2Fc8-6-7-4-2-1-3-5-7%2Fh1-5%2C8H%2C6H2,0.0,0.0,1.0,16.0,0.201331689953804,6.0,6.0,6.0,-0.44870001077652,2.0,1.0,8.0,2.40899991989136,,2.11999988555908,7.27680015563965
InChI%3D1S%2FC11H17NO%2Fc1-9%2812-2%298-10-6-4-5-7-11%2810%2913-3%2Fh4-7%2C9%2C12H%2C8H2%2C1-3H3,0.0,3.0,1.0,30.0,0.0940035581588745,7.0,6.0,6.0,-0.306600004434586,5.0,4.0,13.0,2.68400001525879,,2.45000004768372,30.4745006561279
InChI%3D1S%2FC11H9I3N2O4.Na%2Fc1-3%2817%2915-9-6%2812%295%2811%2819%2920%297%2813%2910%288%289%2914%2916-4%282%2918%3B%2Fh1-2H3%2C%28H%2C15%2C17%29%28H%2C16%2C18%29%28H%2C19%2C20%29%3B%2Fq%3B%2B1%2Fp-1,0.0,0.0,2.0,29.0,,15.0,6.0,6.0,,4.0,3.0,20.0,3.6010000705719,,1.57000005245209,
InChI%3D1S%2FC5H11NO2%2Fc1-3-5%282%294-8-6-7%2Fh5H%2C3-4H2%2C1-2H3,0.0,4.0,0.0,19.0,4.58430910110474,3.0,0.0,0.0,-2.14109992980957,8.0,4.0,7.0,2.49900007247925,,1.67999994754791,28.8693008422852
InChI%3D1S%2FC21H28N2O5%2Fc1-23%282%2910-11-28-17-8-6-15%287-9-17%2914-22-21%2824%2916-12-18%2825-3%2920%2827-5%2919%2813-16%2926-4%2Fh6-9%2C12-13H%2C10-11%2C14H2%2C1-5H3%2C%28H%2C22%2C24%29,0.0,2.0,1.0,56.0,0.131551295518875,12.0,12.0,12.0,-0.36269998550415,6.0,10.0,29.0,2.59299993515015,,3.0,60.2840995788574
InChI%3D1S%2FC32H60O10%2Fc1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-30%2836%2940-25-24-37-27-29%2839-22-19-34%2932-28%2838-21-18-33%2926-31%2842-32%2941-23-20-35%2Fh9-10%2C28-29%2C31-35H%2C2-8%2C11-27H2%2C1H3,2.0,18.0,3.0,102.0,20.6843032836914,3.0,0.0,0.0,-4.5479998588562,29.0,31.0,42.0,5.86899995803833,,3.88000011444092,142.471298217773
InChI%3D1S%2FC14H14N2O%2Fc1-14%282%2C12-6-4-8-16-10-12%2913%2817%2911-5-3-7-15-9-11%2Fh3-10H%2C1-2H3,0.0,3.0,0.0,31.0,0.423020154237747,8.0,12.0,12.0,0.65039998292923,5.0,3.0,18.0,2.10500001907349,,2.67000007629395,18.9706993103027
InChI%3D1S%2FC19H28O2%2Fc1-18-9-7-15-14-6-4-13%2820%2911-12%2814%293-5-16%2815%2917%2818%298-10-19%2818%2C2%2921%2Fh11%2C14-17%2C21H%2C3-10H2%2C1-2H3%2Ft14-%2C15%2B%2C16%3F%2C17-%2C18-%2C19-%2Fm0%2Fs1,0.0,0.0,1.0,49.0,0.390625,4.0,0.0,0.0,0.625,0.0,0.0,24.0,3.64000010490417,,3.32999992370605,82.3824996948242
InChI%3D1S%2FC12H12N2O2S%2Fc13-9-1-5-11%286-2-9%2917%2815%2C16%2912-7-3-10%2814%294-8-12%2Fh1-8H%2C13-14H2,0.0,0.0,2.0,29.0,3.70562505722046,17.0,12.0,12.0,-1.92499995231628,2.0,2.0,18.0,1.23300004005432,,2.23000001907349,17.0858001708984
InChI%3D1S%2FC47H73NO17%2Fc1-27-17-15-13-11-9-7-5-6-8-10-12-14-16-18-34%2864-46-44%2858%2941%2848%2943%2857%2930%284%2963-46%2924-38-40%2845%2859%2960%2937%2854%2926-47%2861%2C65-38%2925-33%2851%2922-36%2853%2935%2852%2920-19-31%2849%2921-32%2850%2923-39%2855%2962-29%283%2928%282%2942%2827%2956%2Fh5-18%2C27-38%2C40-44%2C46%2C49-54%2C56-58%2C61H%2C19-26%2C48H2%2C1-4H3%2C%28H%2C59%2C60%29%2Fb6-5-%2C9-7-%2C10-8-%2C13-11-%2C14-12-%2C17-15-%2C18-16%2B%2Ft27-%2C28-%2C29-%2C30%2B%2C31%2B%2C32%2B%2C33-%2C34-%2C35%2B%2C36%2B%2C37-%2C38-%2C40%2B%2C41-%2C42%2B%2C43%2B%2C44%3F%2C46-%2C47%2B%2Fm0%2Fs1,2.0,0.0,12.0,138.0,26.8469066619873,14.0,0.0,0.0,-5.18139982223511,2.0,3.0,67.0,2.06800007820129,,4.65000009536743,230.935302734375
InChI%3D1S%2FC18H21NO3%2Fc1-19-8-7-18-11-4-5-13%2820%2917%2818%2922-16-14%2821-2%296-3-10%2815%2816%2918%299-12%2811%2919%2Fh3-6%2C11-13%2C17%2C20H%2C7-9H2%2C1-2H3%2Ft11%3F%2C12%3F%2C13-%2C17%3F%2C18%2B%2Fm0%2Fs1,0.0,0.0,1.0,43.0,0.0952339619398117,8.0,6.0,6.0,-0.308600008487701,2.0,1.0,26.0,1.31500005722046,,3.0,60.8292999267578
