SMILES,VPC-5,khs.sNH3,khs.aaS,khs.aaaC,khs.tN,VPC-6,MDEO-11,SP-7,khs.sssPbH,khs.sGeH3,khs.sCH3,MDEO-12,khs.ssS,ATSc1,khs.sPH2,khs.aaSe,Kier1,MDEN-33,ATSc2,khs.ssNH2,khs.dCH2,khs.dssS,khs.ssCH2,Kier2,khs.sssSiH,ATSc3,khs.sOH,Kier3,khs.tsC,ATSc4,SPC-4,khs.ssGeH2,ATSc5,khs.sssssP,topoShape,SPC-5,MDEC-33,SPC-6,khs.ddC,VP-0,khs.dSe,khs.sssGeH,VP-1,MDEC-34,VP-2,VCH-3,khs.ddssS,VC-3,khs.dsssP,VCH-4,VC-4,khs.ssSe,VP-3,fragC,MDEN-11,VCH-5,khs.aasC,VC-5,khs.ssBe,VP-4,khs.ssssGe,MDEN-12,VCH-6,VC-6,VP-5,MDEN-13,VCH-7,ECCEN,C3SP2,VP-6,SCH-3,khs.dO,C3SP3,MDEO-22,VP-7,khs.ssssPb,SCH-4,MDEC-11,khs.ssPH,khs.sF,SCH-5,khs.sssAs,C4SP3,khs.sSeH,khs.tCH,WPATH,SCH-6,MDEC-12,khs.sSnH3,khs.aaNH,VAdjMat,C2SP1,khs.sssdAs,khs.sSH,MDEC-13,khs.ssBH,khs.sI,C2SP2,geomShape,SCH-7,MDEC-14,khs.dS,khs.sssB,C2SP3,khs.ssssBe,ATSm1,MDEC-44,khs.sPbH3,khs.ssSnH2,ATSm2,khs.sAsH2,khs.ssssB,ATSp1,ATSm3,khs.dssC,khs.aasN,khs.aaCH,khs.dssSe,khs.ssssSi,ATSp2,khs.dNH,khs.ssssC,ATSm4,TopoPSA,ATSp3,ATSm5,PetitjeanNumber,MDEN-22,khs.ssPbH2,ATSp4,MDEN-23,khs.sBr,khs.ssAsH,khs.ssNH,ATSp5,WPOL,khs.ssssSn,khs.dsN,khs.sSiH3,MDEC-22,khs.ddssSe,khs.sssNH,khs.ddsN,SP-0,khs.aaN,C1SP1,SP-1,MDEC-23,khs.sssSnH,khs.aaO,C1SP2,SC-3,khs.sssN,SP-2,MDEC-24,C1SP3,SC-4,khs.ssSiH2,SP-3,khs.sCl,SC-5,khs.ssO,khs.sssP,SP-4,Zagreb,khs.dsCH,SC-6,khs.ssssN,SP-5,khs.sssssAs,VPC-4,khs.sLi,khs.sssCH,SP-6,khs.sNH2
InChI%3D1S%2FC4H5Cl%2Fc1-3-4%282%295%2Fh3H%2C1-2H2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025400809943676,0.0,0.0,5.0,0.0,-0.0081307040527463,0.0,2.0,0.0,0.0,2.25,0.0,-0.00440725963562727,0.0,4.0,0.0,-0.000162440846906975,0.40824830532074,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.62545728683472,0.0,0.0,1.61742353439331,0.0,1.13646697998047,0.0,0.0,0.231455028057098,0.0,0.0,0.0,0.0,0.375792592763901,61.0099983215332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333343267441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.41421353816986,0.0,0.0,3.32192802429199,0.0,0.0,0.0,1.41421353816986,0.0,0.0,2.0,0.605433464050293,0.0,0.0,0.0,0.0,0.0,0.0,12.7127532958984,0.0,0.0,0.0,5.95173740386963,0.0,0.0,209.404479980469,7.90347480773926,1.0,0.0,0.0,0.0,0.0,185.763259887695,0.0,0.0,3.95173740386963,0.0,159.014999389648,0.0,0.333333343267441,0.0,0.0,63.688159942627,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28445720672607,0.0,0.0,2.27005553245544,1.0,0.0,0.0,2.0,0.40824830532074,0.0,1.80209517478943,0.0,0.0,0.0,0.0,0.816496610641479,1.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.163663417100906,0.0,0.0,0.0,0.0
InChI%3D1S%2FC3H5Br2Cl%2Fc4-1-3%285%292-6%2Fh3H%2C1-2H2,1.26254642009735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116667233407497,0.0,0.0,6.0,0.0,-0.0204532295465469,0.0,0.0,0.0,2.0,3.20000004768372,0.0,-0.0550944581627846,0.0,3.0,0.0,-0.00328892027027905,0.577350258827209,0.0,0.0205029882490635,0.0,1.0,0.288675129413605,0.0,0.0,0.0,7.05337905883789,0.0,0.0,4.14090394973755,0.0,3.15693640708923,0.0,0.0,0.566946685314178,0.0,0.0,0.0,0.0,3.37808275222778,70.0299987792969,0.0,0.0,0.0,0.0,0.0,0.642857134342194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,3.58496260643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64533132314682,0.0,0.0,0.0,0.0,1.0,0.0,100.228935241699,0.0,0.0,0.0,18.2570877075195,0.0,0.0,433.149627685547,23.9097633361816,0.0,0.0,0.0,0.0,0.0,403.634490966797,0.0,0.0,73.4994583129883,0.0,368.651885986328,19.6369514465332,0.5,0.0,0.0,222.678283691406,0.0,2.0,0.0,0.0,43.3590660095215,4.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.99156379699707,0.0,0.0,2.80806040763855,2.0,0.0,0.0,0.0,0.288675129413605,0.0,1.92166829109192,0.0,2.0,0.0,0.0,1.39384686946869,1.0,0.0,0.0,0.0,0.288675129413605,20.0,0.0,0.0,0.0,0.0,0.0,1.75631833076477,0.0,1.0,0.0,0.0
InChI%3D1S%2FC11H11N5%2Fc1-6-5-13-7-3-4-8-10%289%287%2914-6%2915-11%2812%2916%288%292%2Fh3-5H%2C1-2H3%2C%28H2%2C12%2C15%29,1.42181015014648,0.0,0.0,2.0,0.0,1.67777323722839,0.0,2.27184391021729,0.0,0.0,2.0,0.0,0.0,0.300049245357513,0.0,0.0,11.1111106872559,0.0,-0.193178653717041,0.0,0.0,0.0,0.0,4.03292179107666,0.0,-0.0100867655128241,0.0,1.76454293727875,0.0,0.0310797151178122,3.26379370689392,0.0,0.032345786690712,0.0,0.75,5.12007713317871,6.63197565078735,7.59804582595825,0.0,9.07369136810303,0.0,0.0,5.02280521392822,0.0,3.87142848968506,0.0,0.0,0.544305682182312,0.0,0.0,0.0,0.0,2.75342798233032,601.049987792969,0.0,0.0279508493840694,3.0,0.104772321879864,0.0,1.88050019741058,0.0,0.766309440135956,0.107306219637394,0.0,1.29223620891571,0.5,0.158119574189186,197.0,0.0,0.734294235706329,0.0,0.0,0.0,0.0,0.419887095689774,0.0,0.0,0.142857149243355,0.0,0.0,0.0785674229264259,0.0,0.0,0.0,0.0,390.0,0.381648242473602,1.44903707504272,0.0,0.0,5.0,0.0,0.0,0.0,3.57098054885864,0.0,0.0,7.0,0.771183669567108,0.715386986732483,0.0,0.0,0.0,0.0,0.0,17.7999401092529,0.0,0.0,0.0,19.6618518829346,0.0,0.0,1084.53771972656,29.9080028533936,1.0,0.0,3.0,0.0,0.0,1310.79309082031,1.0,0.0,29.8803844451904,64.9000015258789,1947.7099609375,22.0494575500488,0.428571432828903,0.908560276031494,0.0,1839.71667480469,0.877205312252045,0.0,0.0,1.0,1317.435546875,27.0,0.0,0.0,0.0,1.31037068367004,0.0,0.0,0.0,11.2840929031372,2.0,0.0,7.66470384597778,6.98857831954956,0.0,0.0,1.0,1.29174244403839,1.0,7.31932067871094,0.0,1.0,0.0,0.0,6.49783277511597,0.0,0.393802672624588,0.0,0.0,5.37681531906128,90.0,0.0,0.0,0.0,4.59739637374878,0.0,1.09627652168274,0.0,0.0,3.23006272315979,0.0
InChI%3D1S%2FC11H14O2%2Fc1-4-5-9-6-7-10%2812-2%2911%288-9%2913-3%2Fh4%2C6-8H%2C1%2C5H2%2C2-3H3,0.624802708625793,0.0,0.0,0.0,0.0,0.60365754365921,0.0,0.770279943943024,,0.0,2.0,0.0,0.0,0.309429407119751,0.0,0.0,11.0769233703613,0.0,-0.176810875535011,0.0,1.0,0.0,1.0,5.671875,0.0,-0.0449164845049381,0.0,3.0,0.0,0.15249215066433,1.42534029483795,0.0,-0.120921172201633,0.0,1.0,2.22720551490784,1.65096366405487,2.5791871547699,0.0,8.04011154174805,0.0,0.0,4.13282871246338,0.0,2.68213486671448,0.0,0.0,0.235702261328697,0.0,0.0,0.0,0.0,1.82799136638641,573.02001953125,0.0,0.0,3.0,0.0138888889923692,0.0,1.1742707490921,0.0,0.0,0.0240562614053488,0.0,0.713634252548218,0.0,0.0366521999239922,151.0,1.0,0.349420428276062,0.0,0.0,0.0,0.333333343267441,0.167217239737511,,0.0,0.458566069602966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0680413842201233,3.90690088272095,0.0,0.0,4.70043992996216,0.0,0.0,0.0,2.62798619270325,0.0,0.0,6.0,0.758163273334503,0.144337564706802,0.0,0.0,0.0,1.0,0.0,14.5489377975464,0.0,,0.0,14.3283681869507,0.0,0.0,673.650634765625,17.3283672332764,0.0,0.0,3.0,0.0,0.0,735.050476074219,0.0,0.0,19.1028366088867,18.4599990844727,924.038940429688,15.6604595184326,0.5,0.0,,894.884338378906,0.0,0.0,0.0,0.0,641.37451171875,17.0,0.0,0.0,0.0,4.55655384063721,0.0,0.0,0.0,9.68179798126221,0.0,0.0,6.31239175796509,7.67819404602051,0.0,0.0,1.0,0.537457466125488,0.0,4.80440902709961,0.0,0.0,0.0,0.0,3.99413347244263,0.0,0.0833333358168602,2.0,0.0,3.13182878494263,58.0,1.0,0.0,0.0,2.22964811325073,0.0,0.492496848106384,0.0,0.0,1.31221628189087,0.0
InChI%3D1S%2FC3H6ClNO%2Fc1-5%282%293%284%296%2Fh1-2H3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.237975254654884,0.0,0.0,6.0,0.0,-0.213312432169914,0.0,0.0,0.0,0.0,2.22222232818604,0.0,0.158799096941948,0.0,3.0,0.0,-0.0644742920994759,1.33333337306976,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.48935508728027,0.0,0.0,1.88910484313965,0.0,1.4707156419754,0.0,0.0,0.327116638422012,0.0,0.0,0.0,0.0,0.689666748046875,91.0299987792969,0.0,0.0,0.0,0.103509835898876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,3.58496260643005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.77766489982605,0.0,0.0,0.0,0.0,0.0,0.0,14.8472108840942,0.0,0.0,0.0,7.78238534927368,0.0,0.0,208.077880859375,11.9277238845825,1.0,0.0,0.0,0.0,0.0,196.128173828125,0.0,0.0,8.56765842437744,20.3099994659424,200.129608154297,0.0,0.333333343267441,0.0,0.0,107.417663574219,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.154700756073,0.0,0.0,2.64273452758789,0.0,0.0,0.0,0.0,0.666666686534882,1.0,2.48803377151489,0.0,0.0,0.0,0.0,1.33333337306976,1.0,0.333333343267441,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.551853060722351,0.0,0.0,0.0,0.0
InChI%3D1S%2FC6H7N3O%2Fc7-9-6%2810%295-2-1-3-8-4-5%2Fh1-4H%2C7H2%2C%28H%2C9%2C10%29,0.231603920459747,0.0,0.0,0.0,0.0,0.176676407456398,0.0,0.319035589694977,0.0,0.0,0.0,0.0,0.0,0.18249736726284,0.0,0.0,8.10000038146973,0.0,-0.0962546169757843,0.0,0.0,0.0,0.0,4.0,0.0,0.0246929880231619,1.0,2.28571438789368,0.0,-0.0789599865674973,1.08925569057465,0.0,0.091446541249752,0.0,1.0,1.33925569057465,1.0,1.37377345561981,0.0,5.22839212417603,0.0,0.0,2.71582722663879,0.0,1.6944066286087,0.0,0.0,0.133333340287209,0.0,0.0,0.0,0.0,1.04202055931091,199.039993286133,0.0,0.0,1.0,0.0166666675359011,0.0,0.569565117359161,0.0,0.894427180290222,0.0248451996594667,0.0,0.306654065847397,0.0,0.0124225998297334,90.0,1.0,0.0853803232312202,0.0,0.0,0.0,0.0,0.0333333350718021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.102062076330185,0.0,0.0,0.0,4.32192802429199,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.80469673871994,0.0589255653321743,0.0,0.0,0.0,0.0,0.0,11.8544330596924,0.0,0.0,0.0,11.1906356811523,0.0,0.0,431.847991943359,13.5502986907959,1.0,0.0,4.0,0.0,0.0,463.575469970703,0.0,0.0,13.0485763549805,71.5,552.149291992188,8.74410152435303,0.5,0.25,0.0,460.083465576172,0.0,0.0,0.0,0.0,255.005889892578,11.0,0.0,1.0,0.0,3.53277564048767,0.0,0.0,0.0,7.39734125137329,1.0,0.0,4.8425350189209,3.94154000282288,0.0,0.0,3.0,0.402368932962418,0.0,3.78362226486206,0.0,0.0,0.0,0.0,3.09851837158203,0.0,0.117851130664349,0.0,0.0,2.03653573989868,44.0,0.0,0.0,0.0,1.41711032390594,0.0,0.246518462896347,0.0,0.0,0.569035589694977,1.0
InChI%3D1S%2FC13H14N2%2Fc14-12-5-1-10%282-6-12%299-11-3-7-13%2815%298-4-11%2Fh1-8H%2C9%2C14-15H2,0.662076830863953,0.0,0.0,0.0,0.0,0.765955209732056,0.0,1.06531405448914,0.0,0.0,0.0,0.0,0.0,0.0341497547924519,0.0,0.0,11.484375,0.0,-0.0120241148397326,0.0,0.0,0.0,1.0,5.36507940292358,0.0,-0.00719576934352517,0.0,3.5,0.0,0.00160848628729582,1.62954914569855,0.0,0.0099826417863369,0.0,1.0,1.96420383453369,1.53261888027191,2.76322031021118,0.0,8.48060989379883,0.0,0.0,4.92719125747681,0.0,3.65994000434875,0.0,0.0,0.428152352571487,0.0,0.0,0.0,0.0,2.36768674850464,690.02001953125,0.100000001490116,0.0,4.0,0.0,0.0,1.50667929649353,0.0,0.0,0.0555555559694767,0.0,1.10662662982941,0.0,0.0713587254285812,240.0,2.0,0.493450403213501,0.0,0.0,0.0,0.0,0.27498596906662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.0,0.16666667163372,0.0,0.0,0.0,4.90689039230347,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.712593555450439,0.284517794847488,0.0,0.0,0.0,1.0,0.0,15.7199764251709,0.0,0.0,0.0,16.3323707580566,0.0,0.0,912.585571289062,21.6647415161133,0.0,0.0,8.0,0.0,0.0,1017.81768798828,0.0,0.0,18.6647415161133,52.0400009155273,1303.4326171875,12.3323707580566,0.5,0.0,0.0,1125.32653808594,0.0,0.0,0.0,0.0,773.603576660156,18.0,0.0,0.0,0.0,11.8767204284668,0.0,0.0,0.0,10.6733617782593,0.0,0.0,7.23718357086182,14.3116302490234,0.0,0.0,0.0,0.985598564147949,0.0,6.48749780654907,0.0,0.0,0.0,0.0,4.93752384185791,0.0,0.0,0.0,0.0,3.60103964805603,74.0,0.0,0.0,0.0,3.21497464179993,0.0,0.612238883972168,0.0,0.0,1.65425360202789,2.0
InChI%3D1S%2FC5H4O2%2Fc6-4-5-2-1-3-7-5%2Fh1-4H,0.100116394460201,0.0,0.0,0.0,0.0,0.0185185186564922,0.0,0.0,0.0,0.0,0.0,0.333333343267441,0.0,0.315179973840714,0.0,0.0,5.14285707473755,0.0,-0.123790875077248,0.0,0.0,0.0,0.0,2.34375,0.0,-0.113162949681282,0.0,1.1851851940155,0.0,0.13036136329174,0.492799282073975,0.0,-0.0509975180029869,0.0,1.0,0.594861328601837,0.0,0.20412415266037,0.0,3.62589764595032,0.0,0.0,1.91954565048218,0.0,1.13327074050903,0.0,0.0,0.0680413842201233,0.0,0.0,0.0,0.0,0.659336924552917,79.0199966430664,0.0,0.039283711463213,1.0,0.0,0.0,0.358319312334061,0.0,0.0,0.0226804614067078,0.0,0.084078885614872,0.0,0.00925925932824612,44.0,0.0,0.0185185186564922,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144337564706802,0.0,0.0,0.0,0.0,43.0,0.102062076330185,0.0,0.0,0.0,3.80735492706299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.102062076330185,0.0,0.0,0.0,3.0,0.0,8.54893779754639,0.0,0.0,0.0,7.99627590179443,0.0,0.0,216.849029541016,9.32836818695068,0.0,0.0,3.0,0.0,0.0,229.107192993164,0.0,0.0,5.10656118392944,30.2099990844727,260.798461914062,2.66418385505676,0.5,0.0,0.0,100.654312133789,0.0,0.0,0.0,0.0,39.8707580566406,4.0,0.0,0.0,0.0,3.30192732810974,0.0,0.0,0.0,5.11288404464722,0.0,0.0,3.4318516254425,2.82842707633972,0.0,1.0,1.0,0.20412415266037,0.0,2.55873084068298,0.0,1.0,0.0,0.0,2.05209517478943,0.0,0.0,0.0,0.0,1.41861128807068,30.0,1.0,0.0,0.0,0.492799282073975,0.0,0.106345199048519,0.0,0.0,0.20412415266037,0.0
InChI%3D1S%2FC14H13N3O3%2Fc1-20-13-8-10%282-3-12%2813%2918%299-16-17-14%2819%2911-4-6-15-7-5-11%2Fh2-9%2C16H%2C1H3%2C%28H%2C17%2C19%29,0.694247782230377,0.0,0.0,0.0,0.0,0.634582579135895,0.111111111938953,1.36514818668365,0.0,0.0,1.0,0.40824830532074,0.0,0.535376489162445,0.0,0.0,16.3718814849854,0.0,-0.235154151916504,0.0,0.0,0.0,0.0,8.44444465637207,0.0,-0.0994371995329857,0.0,5.05785131454468,0.0,0.194078221917152,2.47415590286255,0.0,-0.223642662167549,0.0,1.0,3.28970122337341,2.8506121635437,3.91275858879089,0.0,10.7907609939575,0.0,0.0,5.84641981124878,0.0,3.88898468017578,0.0,0.0,0.348440557718277,0.0,0.0,0.0,0.0,2.55472803115845,776.059997558594,0.0,0.0,1.0,0.0308992341160774,0.0,1.53438186645508,0.0,0.0,0.0489014610648155,0.0,0.928833067417145,0.0,0.045953344553709,397.0,2.0,0.391619235277176,0.0,2.0,0.0,0.0,0.197994872927666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,0.170103460550308,1.2108815908432,0.0,0.0,5.32192802429199,0.0,0.0,0.0,1.12580001354218,0.0,0.0,7.0,0.801604390144348,0.223191991448402,0.0,0.0,0.0,0.0,0.0,23.4033718109131,0.0,0.0,0.0,23.3530979156494,0.0,0.0,1127.11010742188,30.2110366821289,4.0,0.0,4.0,0.0,0.0,1258.4560546875,0.0,0.0,31.4837837219238,,1595.05969238281,24.8203105926514,0.5,0.965489387512207,0.0,1509.5732421875,0.0,0.0,0.0,2.0,1138.25134277344,27.0,0.0,0.0,0.0,6.87584495544434,0.0,0.0,0.0,14.3720331192017,1.0,0.0,9.70270824432373,11.6394462585449,0.0,0.0,4.0,1.00886201858521,0.0,8.13096714019775,0.0,0.0,0.0,0.0,6.72186088562012,0.0,0.235702261328697,1.0,0.0,5.01123809814453,96.0,4.0,0.0,0.0,3.76481556892395,0.0,0.646697044372559,0.0,0.0,2.12914276123047,0.0
InChI%3D1S%2FC13H18Cl2N2O2%2Fc14-5-7-17%288-6-15%2911-3-1-10%282-4-11%299-12%2816%2913%2818%2919%2Fh1-4%2C12H%2C5-9%2C16H2%2C%28H%2C18%2C19%29,1.15270662307739,0.0,0.0,0.0,0.0,1.29520225524902,0.5,1.21269464492798,0.0,0.0,0.0,0.0,0.0,0.423909604549408,0.0,0.0,17.0526313781738,0.0,-0.160487040877342,0.0,0.0,0.0,5.0,9.03125,0.0,-0.164350301027298,1.0,5.87755107879639,0.0,0.148728415369987,2.52585816383362,0.0,0.00216780556365848,0.0,0.833333313465118,2.76043796539307,2.10257887840271,3.69580769538879,0.0,12.0700979232788,0.0,0.0,7.09253787994385,0.0,4.93624353408813,0.0,0.0,0.474745899438858,0.0,0.0,0.0,0.0,3.12122869491577,1027.06005859375,0.0,0.0,2.0,0.0587843731045723,0.0,2.16621041297913,0.0,0.0,0.0277777779847383,0.0,1.44670987129211,0.142857149243355,0.0320644564926624,317.0,1.0,0.788060188293457,0.0,1.0,0.0,0.0,0.385311663150787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.0,0.0833333358168602,0.0,0.0,0.0,5.24792766571045,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.818179786205292,0.107038088142872,0.0,0.0,0.0,2.0,0.0,36.6944198608398,0.0,0.0,0.0,24.2323989868164,0.0,0.0,1175.71276855469,30.3392391204834,1.0,0.0,4.0,0.0,0.0,1289.5498046875,0.0,0.0,32.1542167663574,66.5599975585938,1617.03442382812,31.9696884155273,0.454545468091965,0.0,0.0,1647.79052734375,0.0,0.0,0.0,0.0,1444.73779296875,25.0,0.0,0.0,0.0,11.577112197876,0.0,0.0,0.0,14.2507123947144,0.0,0.0,9.07891750335693,10.9631490707397,0.0,0.0,1.0,1.10649311542511,1.0,7.5752387046814,0.0,4.0,0.0,0.0,5.72019958496094,2.0,0.319035589694977,0.0,0.0,4.05061149597168,86.0,0.0,0.0,0.0,3.19717860221863,0.0,0.910252571105957,0.0,1.0,1.93070554733276,1.0
