SMILES,pTD50
ClC1=C(Cl)C=C2C(=C1)OC1=C(O2)C=C(Cl)C(=C1)Cl,10.1367472755469
NC1=C(C2=NC3=C(OC2=C(C)C1=O)C(=CC=C3C(=O)NC1C(C)OC(=O)C(N(C)C(=O)CN(C)C(=O)C2N(C(=O)C(NC1=O)C(C)C)CCC2)C(C)C)C)C(=O)NC1C(C)OC(=O)C(N(C)C(=O)CN(C)C(=O)C2N(C(=O)C(NC1=O)C(C)C)CCC2)C(C)C,9.05346502648725
OC1C2=C(C3=C(OC2=O)C2=C(C=C3OC)OC3OC=CC23)CC1,8.10463291879122
COC1=C2C3=C(C(=O)OC2=C2C(=C1)OC1C2C=CO1)C(=O)CC3,7.98938529166451
O=C1C=C(N2CC2)C(=O)C(=C1N1CC1)N1CC1,7.6616523317822
ClCOCCl,7.50787098337271
O=NN(C)CCC1=CC=CC=C1,7.21625451343509
CN(CCCl)CCCl,7.13636727072558
O=C(C)CN(C)N=O,6.82937334415202
O=P(N(C)C)(N(C)C)N(C)C,6.71678077451204
CC(=O)CNCC(O)C(O)N=O,6.69939076997863
O=NN(CC)CC,6.58592914451313
O=NN1CCCCCCC1,6.57540443702222
O=NN(CC(O)CO)CC(C)O,6.52252077160583
OC(=O)C(N)CC1=CC=C(N(CCCl)CCCl)C=C1,6.5123812640086
OC(C)CN(C)N=O,6.40679575648186
OC1=C2C(=O)C3=C(OC)C=C4C(=C3OC2=CC=C1)C1C(O4)OC=C1,6.32908233517033
CN(N=O)CCCC(=O)C1=CC=CN=C1,6.31688546219751
OC(C1=CC=CN=C1)CCCN(C)N=O,6.30781807198221
COC1=CC2=C(C3=C(N2)C2N(CC3)CC3CC(C(C(C3C2)C(=O)OC)OC)OC(=O)C2=CC(=C(OC)C(=C2)OC)OC)C=C1,6.29866674925968
O=NN1CCC=CC1,6.27084696283615
O=NN1C(C2=CN=CC=C2)CCC1,6.2675598675758
O=NN(C)CC,6.24344982261863
ClC(C)N(N=O)C(=O)NCC(O)C,6.22803299220081
O=N(=NC)C,6.2013263128505
O=C(C12C3(C)C(CC1OC(O2)CCCC)C1C(C2(C)C(=CC(=O)C=C2)CC1)C(O)C3)CO,6.18403788324544
CC12C(C3C(C4=C(CC3)C=C(O)C=C4)CC1)CCC2(O)C#C,6.17085318540029
O=NN1C(=O)NC(=O)CC1,6.16308884733089
O=C1N(C=NC(N)=N1)C1OC(CO)C(O)C1O,6.15730527464757
O=C(C1=C(N=CN1C)N(C)N=O)N(C)N=O,6.09202787894382
O=C(OC1CC2=CCC3C(C2(C)CC1)CCC1(C)C3CCC1C(C)CCCC(C)C)CC1=CC=C(N(CCCl)CCCl)C=C1,6.09092104990939
OC1=CC=C(C(=C(C2=CC=C(O)C=C2)CC)CC)C=C1,6.08039706025242
S=P(N1CC1)(N1CC1)N1CC1,6.0621220425065
NC(=O)N(C)N=O,6.04609509705206
FCCN(N=O)C(=O)N,6.03373633499879
O=NN1CCOCC1,6.02747529311894
CC=C(C)C(=O)OC1C2N(CC=C2COC(=O)C(O)(C(C)OC)C(O)(C)C)CC1,6.02440894536384
OC1=C2C(=O)C3=C(C=C4C(=C3OC2=C(C(=C1)OC)OC)C1C(O4)OC=C1)OC,6.02360990823094
O=NN1CC(C)N(C)C(C)C1,6.01751316533564
O=NN(C)C1=CC=CC=C1,5.9817334480438
O=NN(C(=O)NCC(=O)C)CC,5.98079408207917
ClCC(Br)CBr,5.96022368501668
O=NN1CN(N=O)CCC1,5.93865262629478
C=CC1=CC(C)C(C)(OC(=O)C)C(=O)OCC2=CCN(C)CCC(OC1=O)C2=O,5.90895830273325
O=NN(C)C,5.88789362236984
O=N(=O)C1=CC2=C(C3=C(C2)C=CC=C3)C=C1,5.86988215932042
O=NN(CCC)CCC,5.84505867820838
CN(N=O)C(=O)OC1=C(OC(C)C)C=CC=C1,5.81591311446616
O=NN(C)C1=NC=CC=C1,5.80674847169807
O=C1C2=C(OC)C=C3OC(C)(C)C=CC3=C2N(C)C2=C1C=CC=C2,5.8037136843846
O=C(NC(C)C)C1=CC=C(CNNC)C=C1,5.79967213873971
CC1=C(N(=O)=O)C=CC=C1N(=O)=O,5.79500722036801
CN(C)NC1=NC(=CS1)C1=CC=C(O1)N(=O)=O,5.79250597147416
ClCCNC(=O)N(N=O)CCO,5.73992773366565
OCCN(N=O)C(=O)N,5.73680813248407
OS(=O)(=O)C1=CC2=C(C(=O)C(=NNC3=CC=CC=C3)C(=C2)S(=O)(=O)O)C(N)=C1N=NC1=CC=C(C2=CC=C(N=NC3=C(N)C=C(N)C=C3)C=C2)C=C1,5.72490424866783
OC1(C(C)CC(=CC)C(=O)OC2C3N(=O)(CC2)CC=C3COC1=O)CO,5.71021856431383
OS(=O)(=O)C1=CC(=C2C(=C1)C=C(C(=NNC1=CC=C(C3=CC=C(NN=C4C(=O)C5=C(N)C=C(S(=O)(=O)O)C=C5C=C4S(=O)(=O)O)C=C3)C=C1)C2=O)S(=O)(=O)O)N,5.68872271011469
NC(C)C(O)CC(O)CCCCC(O)CC(C)CC(OC(=O)CC(C(=O)O)CC(=O)O)C(OC(=O)CC(C(=O)O)CC(=O)O)C(C)CCCC,5.68234366876992
O=NN(C)CCCCCCCCCCCC,5.62867294348817
CC(=O)CN(N=O)CC=C,5.62772008220431
ClCC=CCCl,5.6241389711511
OC1(C)C(C)CC2(OC2C)C(=O)OC2C(=O)C(=CCN(C)CC2)COC1=O,5.61667276848548
OC1(C(C)CC(=CC)C(=O)OC2C3N(CC2)CC=C3COC1=O)CO,5.61028744666005
O=NN1C(C)SC(C)SC1C,5.60004209042851
OCCCCN(N=O)CCCC,5.58123365634316
NC(=O)N(N=O)CC=C,5.5782303932103
OC1OC(=O)C(=C1C(Cl)Cl)Cl,5.57165810167507
NC1=NC(=C2C(=C1C)NC1=C2C=CC=C1)C,5.56515457007017
O=NN(CCCC(F)(F)F)CCCC(F)(F)F,5.55128067545128
NC1=CC=C(C=CC2=C(OC)C=CC(=C2)OC)C=C1,5.54913545266613
O=P1(OCCCN1CCCl)NCCCl,5.54813814818599
ClC12C3(Cl)C4(Cl)C5(Cl)C(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl,5.54414852160459
CC1C(O)(C)C(O)(C)C(=O)OCC2=CCN3C2C(OC1=O)CC3,5.53923230134191
OC(=O)CCCC1=CC=C(N(CCCl)CCCl)C=C1,5.53086776060692
O=NN(CC(=O)C)CC(=O)C,5.50800225817358
NC1=NN=C(S1)C1=CC=C(O1)N(=O)=O,5.50586098782066
ClC1=CC=C(C(=O)N2C3=C(C(=C2C)CC(=O)O)C=C(OC)C=C3)C=C1,5.49292720183966
OCCNC(=O)N(N=O)CC,5.48958486934775
O=C1OCCN1N=O,5.47927983357512
NC(=O)N(N=O)CCCCC,5.45761297816056
