SMILES,nAromBond,nAtomLC,nB,nAtom,MLogP,XLogP,ALogP,nRotB,nAtomP,AMR
InChI%3D1S%2FC10H8%2Fc1-2-6-10-8-4-3-7-9%2810%295-1%2Fh1-8H,11.0,0.0,11.0,18.0,2.55999994277954,3.22399997711182,1.94780004024506,0.0,10.0,49.1528015136719
InChI%3D1S%2FC9H7N3O4S%2Fc1-5%2813%2910-9-11-6%284-17-9%297-2-3-8%2816-7%2912%2814%2915%2Fh2-4H%2C1H3%2C%28H%2C10%2C11%2C13%29,10.0,4.0,18.0,24.0,1.57000005245209,1.75300002098083,0.318199992179871,3.0,16.0,26.1991996765137
InChI%3D1S%2FC11H13N5O4%2Fc1-15%282%297-12-11-14-13-9%2820-11%295-3-8-4-6-10%2819-8%2916%2817%2918%2Fh3-6H%2C7H2%2C1-2H3%2C%28H%2C12%2C14%29,5.0,5.0,21.0,35.0,1.67999994754791,2.2260000705719,-0.83380001783371,5.0,10.0,49.9392013549805
InChI%3D1S%2FC12H5Cl5%2Fc13-8-3-1-2-6%2810%288%2915%297-4-5-9%2814%2912%2817%2911%287%2916%2Fh1-5H,12.0,0.0,18.0,22.0,2.23000001907349,4.27099990844727,4.25909996032715,1.0,12.0,83.0523986816406
InChI%3D1S%2FC3H6O2%2Fc4-1-3-2-5-3%2Fh3-4H%2C1-2H2,0.0,2.0,5.0,11.0,1.57000005245209,-0.861999988555908,-0.641600012779236,1.0,0.0,17.0060005187988
InChI%3D1S%2FC12H12N2O3%2Fc1-2-12%288-6-4-3-5-7-8%299%2815%2913-11%2817%2914-10%2812%2916%2Fh3-7H%2C2H2%2C1H3%2C%28H2%2C13%2C14%2C15%2C16%2C17%29,6.0,2.0,18.0,29.0,2.23000001907349,2.11100006103516,0.0842000022530556,2.0,8.0,64.2021026611328
InChI%3D1S%2FC9H8N4O5%2Fc1-5%2814%2910-4-7-11-9%2812-18-7%296-2-3-8%2817-6%2913%2815%2916%2Fh2-3H%2C4H2%2C1H3%2C%28H%2C10%2C14%29,10.0,5.0,19.0,26.0,1.46000003814697,1.18900001049042,-0.639100015163422,4.0,8.0,24.550199508667
InChI%3D1S%2FC8H12N2O3%2Fc1-3-8%284-2%295%2811%299-7%2813%2910-6%288%2912%2Fh3-4H2%2C1-2H3%2C%28H2%2C9%2C10%2C11%2C12%2C13%29,0.0,2.0,13.0,25.0,1.78999996185303,1.42299997806549,-0.816699981689453,2.0,8.0,44.8168983459473
InChI%3D1S%2FC4H9N3O%2Fc8-6-7-3-1-5-2-4-7%2Fh5H%2C1-4H2,0.0,2.0,8.0,17.0,1.46000003814697,-0.642000019550323,-0.487800002098083,1.0,3.0,30.8059005737305
InChI%3D1S%2FC6H7ClN2%2Fc7-4-1-2-5%288%296%289%293-4%2Fh1-3H%2C8-9H2,6.0,0.0,9.0,16.0,1.78999996185303,0.409000009298325,-0.621299982070923,0.0,8.0,42.771598815918
InChI%3D1S%2FC9H12N2O%2Fc1-11%2810-12%298-7-9-5-3-2-4-6-9%2Fh2-6H%2C7-8H2%2C1H3,6.0,6.0,12.0,24.0,2.11999988555908,1.39699995517731,1.46350002288818,4.0,6.0,53.2535018920898
InChI%3D1S%2FC10H9Cl4NO2S%2Fc11-9%2812%2910%2813%2C14%2918-15-7%2816%295-3-1-2-4-6%285%298%2815%2917%2Fh1-2%2C5-6%2C9H%2C3-4H2,0.0,7.0,19.0,27.0,1.67999994754791,2.76999998092651,2.72370004653931,3.0,5.0,77.7978973388672
